gene_id,Benzamidine_status,SKTI_status,GORE3_status
gene-BAEE,so_identidade(splicing),sem_mudanca_significativa,sem_mudanca_significativa
gene-CLIP3,sem_mudanca_significativa,so_nivel(DE),sem_mudanca_significativa
gene-CLIP4,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-Corin,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142972507,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142973000,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142973802,sem_mudanca_significativa,sem_mudanca_significativa,so_nivel(DE)
gene-LOC142973877,sem_mudanca_significativa,so_nivel(DE),so_nivel(DE)
gene-LOC142974109,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142974114,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142974259,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142974260,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142975017,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142975112,sem_mudanca_significativa,sem_mudanca_significativa,so_nivel(DE)
gene-LOC142975131,so_nivel(DE),so_nivel(DE),so_nivel(DE)
gene-LOC142975207,so_identidade(splicing),sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142975259,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142975272,so_nivel(DE),sem_mudanca_significativa,so_nivel(DE)
gene-LOC142975290,sem_mudanca_significativa,sem_mudanca_significativa,so_nivel(DE)
gene-LOC142975421,sem_mudanca_significativa,sem_mudanca_significativa,nivel+identidade
gene-LOC142975428,sem_mudanca_significativa,so_nivel(DE),so_nivel(DE)
gene-LOC142975433,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142975488,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142975571,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142975585,so_nivel(DE),so_nivel(DE),so_nivel(DE)
gene-LOC142975714,sem_mudanca_significativa,sem_mudanca_significativa,so_nivel(DE)
gene-LOC142976211,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142976225,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142976242,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142976249,sem_mudanca_significativa,sem_mudanca_significativa,so_nivel(DE)
gene-LOC142976267,sem_mudanca_significativa,so_nivel(DE),so_nivel(DE)
gene-LOC142976275,sem_mudanca_significativa,so_nivel(DE),so_nivel(DE)
gene-LOC142976292,sem_mudanca_significativa,so_nivel(DE),so_nivel(DE)
gene-LOC142976297,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
gene-LOC142976298,sem_mudanca_significativa,sem_mudanca_significativa,sem_mudanca_significativa
