File	Size	md5sum	Download_link
ID-1_1.fastq.gz	2,062,615,369	77495211e1a2c78717e738a22a359642	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTFfMS5mYXN0cS5neg==
ID-1_2.fastq.gz	2,100,402,929	248a32bc2b74f25caf6dcebd2720aa9c	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTFfMi5mYXN0cS5neg==
ID-2_1.fastq.gz	2,052,110,471	8361482f949b8526c543276768f794ef	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTJfMS5mYXN0cS5neg==
ID-2_2.fastq.gz	2,064,183,460	439546ebcbffd13d52eea63475596091	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTJfMi5mYXN0cS5neg==
ID-3_1.fastq.gz	1,839,748,197	36f1e1abaa8ff770028dd06a09623e78	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTNfMS5mYXN0cS5neg==
ID-3_2.fastq.gz	1,845,918,922	37aab8d9fea71e6ce67bbcde60e7d759	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTNfMi5mYXN0cS5neg==
ID-5_1.fastq.gz	1,758,964,415	152c11a61227f0b0254fbf059e855533	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTVfMS5mYXN0cS5neg==
ID-5_2.fastq.gz	1,779,733,900	da0776be18c706a1a8ed5906f7fcb144	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTVfMi5mYXN0cS5neg==
ID-7_1.fastq.gz	1,649,562,016	e7938296e25c43931a89033f457135a6	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTdfMS5mYXN0cS5neg==
ID-7_2.fastq.gz	1,569,241,631	9cf844c7655d9a5ca2b6f1fea084dc9f	https://datadownload.macrogen.com/link?file=L35tYWNybzUvSGlTZXEwMi8yMDI2MDcyNC9ITjAwMjgwMzAyL0lELTdfMi5mYXN0cS5neg==
