id,label,n_tiles,mean_dev_window,std_dev_window,mean_dev_flank,std_dev_flank,std_ratio_window_over_flank
ID-1,Control_R1,784,-0.0,0.142,-0.0,0.196,0.723
ID-2,Control_R2,784,0.0,0.186,0.0,0.233,0.799
ID-3,Control_R3,784,0.0,0.238,0.0,0.264,0.902
ID-5,Benzamidine_R1,784,0.0,0.184,0.0,0.25,0.734
ID-7,Benzamidine_R2,784,-0.0,0.486,0.0,0.223,2.181
ID-8,Benzamidine_R3,784,-0.0,0.646,-0.0,0.103,6.282
ID-9,SKTI_R1,784,-0.0,0.587,0.0,0.266,2.208
ID-10,SKTI_R2,784,0.0,0.509,-0.0,0.25,2.035
ID-12,SKTI_R3,784,0.0,0.133,0.0,0.175,0.758
ID-14,GORE3_R1,784,-0.0,0.225,0.0,0.268,0.842
ID-15,GORE3_R2,784,-0.0,0.237,-0.0,0.254,0.935
ID-16,GORE3_R3,784,-0.0,0.317,-0.0,0.255,1.245
ID-18,FatBody,784,0.0,0.221,-0.0,0.284,0.776
