id,label,reads_r1,reads_r2,pares_sincronizados,q_janela_44_90,q_flanco,delta,flagged
ID-1,Control_R1,32550688,32550688,True,39.52,39.6,0.08,False
ID-2,Control_R2,33504042,33504042,True,38.26,39.16,0.89,False
ID-3,Control_R3,29090048,29090048,True,38.13,39.21,1.08,False
ID-5,Benzamidine_R1,27500647,27500647,True,38.49,39.22,0.73,False
ID-7,Benzamidine_R2,28930368,28930368,True,33.52,39.0,5.48,True
ID-8,Benzamidine_R3,39460179,39460179,True,33.41,39.17,5.75,True
ID-9,SKTI_R1,31172157,31172157,True,37.44,39.25,1.81,False
ID-10,SKTI_R2,30906748,30906748,True,33.42,38.88,5.46,True
ID-12,SKTI_R3,33545221,33545221,True,39.24,39.57,0.33,False
ID-14,GORE3_R1,27090197,27090197,True,38.93,39.28,0.35,False
ID-15,GORE3_R2,31079636,31079636,True,38.29,39.24,0.95,False
ID-16,GORE3_R3,29902657,29902657,True,38.54,39.26,0.72,False
ID-18,FatBody,33478105,33478105,True,38.84,39.26,0.42,False
