id,label,gc_vendor,reads_before,reads_after,pct_survival,pct_adapter_dimer,pct_low_quality,pct_too_short,q30_before,q30_after,mean_len_after
ID-1,Control_R1,51.8,65101376,63463466,97.48,0.96,1.23,0.31,95.58,96.66,146
ID-2,Control_R2,53.4,67008084,62271020,92.93,5.79,0.94,0.32,94.47,96.34,143
ID-3,Control_R3,49.1,58180096,53331228,91.67,6.6,1.29,0.42,94.44,96.55,145
ID-5,Benzamidine_R1,52.3,55001294,51657352,93.92,4.6,1.11,0.35,94.73,96.41,145
ID-7,Benzamidine_R2,59.7,57860736,38443586,66.44,31.16,1.39,0.98,90.39,96.38,145
ID-8,Benzamidine_R3,63.1,78920358,49318966,62.49,25.58,9.78,2.15,84.14,96.8,145
ID-9,SKTI_R1,54.7,62344314,51357874,82.38,16.23,0.84,0.52,94.13,96.74,146
ID-10,SKTI_R2,60.8,61813496,41762958,67.56,30.65,0.96,0.81,90.49,96.57,146
ID-12,SKTI_R3,49.1,67090442,64784078,96.56,2.21,0.97,0.24,95.55,96.86,144
ID-14,GORE3_R1,48.4,54180394,51715750,95.45,2.21,1.53,0.79,95.04,96.82,143
ID-15,GORE3_R2,48.8,62159272,57504686,92.51,5.97,1.13,0.36,94.84,96.72,145
ID-16,GORE3_R3,50.3,59805314,55091478,92.12,6.47,1.06,0.33,94.87,96.62,146
ID-18,FatBody,49.5,66956210,63850506,95.36,3.22,1.08,0.32,95.19,96.53,146
