id,label,input_read_pairs,avg_input_length,unique_mapped_pct,multi_mapped_pct,combined_mapped_pct,too_many_loci_pct,unmapped_too_short_pct,unmapped_other_pct,mismatch_rate_pct,splices_total,splices_annotated,splices_noncanonical
ID-1,Control_R1,31731733,292.0,82.35,7.9,90.25,0.28,7.37,2.1,1.5,22890218,22709600,347534
ID-2,Control_R2,31135510,287.0,74.59,8.53,83.12,0.26,9.81,6.8,1.53,16735271,16572986,332265
ID-3,Control_R3,26665614,290.0,83.11,4.84,87.95,0.22,10.49,1.34,1.45,18124299,18005034,286484
ID-5,Benzamidine_R1,25828676,291.0,81.88,5.42,87.3,0.19,8.03,4.49,1.42,18754015,18647476,201146
ID-7,Benzamidine_R2,19221793,290.0,78.48,5.37,83.85,0.24,12.41,3.49,1.3,10691972,10607381,194098
ID-8,Benzamidine_R3,24659483,291.0,78.83,7.41,86.24,0.13,8.97,4.65,1.38,15570825,15463196,271905
ID-9,SKTI_R1,25678937,293.0,83.44,6.51,89.95,0.49,7.72,1.84,1.35,21160774,21073677,263211
ID-10,SKTI_R2,20881479,292.0,82.78,6.98,89.76,0.61,7.49,2.14,1.38,17968284,17887082,152680
ID-12,SKTI_R3,32392039,289.0,87.23,4.56,91.79,0.47,6.71,1.05,1.38,29884406,29774191,256624
ID-14,GORE3_R1,25857875,286.0,85.93,4.14,90.07,0.33,8.57,1.03,1.32,22737302,22650373,251534
ID-15,GORE3_R2,28752343,290.0,84.59,4.17,88.76,0.31,9.68,1.25,1.41,24450805,24362274,238520
ID-16,GORE3_R3,27545739,292.0,86.96,3.53,90.49,0.2,8.38,0.94,1.4,25408075,25333447,259677
ID-18,FatBody,31925253,292.0,86.78,3.9,90.68,0.14,6.52,2.66,1.26,22615969,22534142,238310
