id,label,total_fragments,mapped_pct,mapped_n,indels,completed_successfully
ID-1,Control_R1,31731733,82.1,26065883,62066,True
ID-2,Control_R2,31135510,75.6,23553761,50952,True
ID-3,Control_R3,26665614,80.6,21497342,52261,True
ID-5,Benzamidine_R1,25828676,79.7,20590581,50763,True
ID-7,Benzamidine_R2,19221793,78.3,15055328,25974,True
ID-8,Benzamidine_R3,24659483,79.1,19504120,18223,True
ID-9,SKTI_R1,25678937,82.8,21262158,32069,True
ID-10,SKTI_R2,20881479,82.3,17194128,25304,True
ID-12,SKTI_R3,32392039,83.1,26913961,40617,True
ID-14,GORE3_R1,25857875,82.0,21201414,40600,True
ID-15,GORE3_R2,28752343,80.6,23177459,39738,True
ID-16,GORE3_R3,27545739,82.7,22784344,33625,True
ID-18,FatBody,31925253,81.9,26146853,54841,True
