id,label,assigned_reads,total_reads,pct_assigned
ID-1,Control_R1,49490372,65963649,75.03
ID-2,Control_R2,42853489,61092166,70.15
ID-3,Control_R3,41380380,51465016,80.4
ID-5,Benzamidine_R1,40358578,49750203,81.12
ID-7,Benzamidine_R2,26885749,36278660,74.11
ID-8,Benzamidine_R3,35991041,48887066,73.62
ID-9,SKTI_R1,39414946,52191734,75.52
ID-10,SKTI_R2,31730010,42874765,74.01
ID-12,SKTI_R3,52661159,64632535,81.48
ID-14,GORE3_R1,41524596,50102688,82.88
ID-15,GORE3_R2,45541101,55092732,82.66
ID-16,GORE3_R3,44665805,52920527,84.4
ID-18,FatBody,51917334,62114583,83.58
