	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-_Bre2	249	193	268	274	31	26	133	54	86	80	40	80	56
gene-_Bre3	101	27	68	197	15	30	51	31	96	81	173	190	227
gene-_Bre4	374	238	480	693	260	407	161	108	206	470	582	301	298
gene--w-2	8	6	1	1	2	0	3	2	10	12	0	0	28
gene-128up	225	82	165	430	83	398	97	52	134	138	263	159	547
gene-14-3-3epsilon	16874	6363	6449	19283	5181	15058	3863	1761	4598	4138	7895	6099	29439
gene-14-3-3zeta	22049	20615	17660	29483	10613	13900	35970	23390	42130	31347	29770	32230	40573
gene-140up	116	65	78	227	71	157	195	95	356	188	480	356	95
gene-18w	1	2	20	1	15	17	0	0	4	2	2	0	1117
gene-26-29-p	2763	1800	1982	725	1224	770	580	325	515	262	254	113	8653
gene-2mit	0	0	0	0	0	0	0	0	4	2	0	0	20
gene-3HCD	1489	343	398	1575	230	3134	2560	520	5055	2892	3780	2840	1443
gene-5-HT2A	15	3	4	6	15	0	8	6	10	20	4	13	13
gene-5-HT2B	5	18	18	1	82	0	0	0	0	1	0	0	6
gene-5PtaseI	141	52	99	173	71	101	97	28	23	37	47	24	106
gene-6pgl	364	86	56	734	44	286	144	34	287	191	339	328	173
gene-7B2	96	52	177	33	259	73	47	44	58	88	58	68	227
gene-A1	14756	11187	5052	17623	20580	217149	3001	1091	2873	1654	2781	1383	16062
gene-A2	3	8	2	1	0	109	2	0	1	0	0	4	1028
gene-Aanat	26	0	6	0	0	0	20	27	20	19	5	204	4
gene-AANATL7	0	0	5	1	0	0	0	0	0	0	0	0	7
gene-Aasdh	402	724	840	383	397	63	489	345	441	490	327	332	129
gene-Aatf	61	46	201	251	90	56	47	25	31	56	108	54	108
gene-aay	10254	6231	14923	8200	2796	4567	9706	3762	11271	20704	19902	29727	1395
gene-ab	0	2	0	1	0	0	0	0	1	0	0	0	293
gene-ABCB7	657	315	352	1195	72	383	448	83	263	180	216	148	280
gene-ABCD	2996	2692	1353	1231	905	529	539	348	341	592	649	359	1031
gene-abd-A	23	39	49	17	93	34	7	7	8	13	3	7	7155
gene-Abd-b	11	17	43	4	57	104	8	16	8	4	3	0	2250
gene-Abi	1100	703	1094	1498	511	442	668	412	802	510	620	725	1144
gene-Abl	717	268	337	485	315	240	33	8	19	34	62	36	779
gene-abo	189	256	706	150	223	49	278	120	198	177	150	265	126
gene-Abp1	898	895	657	1428	385	161	678	342	281	836	516	567	1212
gene-abs	326	290	687	395	215	157	254	151	190	146	94	144	339
gene-ac	0	0	0	0	4	0	0	0	0	0	0	0	0
gene-Ac13E	442	253	295	288	300	205	71	41	70	76	150	72	303
gene-Ac3	3	9	9	11	7	24	3	7	3	0	11	0	0
gene-Acade	12111	4170	2889	15492	1981	10360	13204	3626	11592	12671	14475	11318	1344
gene-Acadvl	2305	1231	1698	1569	893	1376	156	99	137	72	171	194	2302
gene-ACBP	20127	6784	1713	48344	2480	12305	51887	64943	128601	78406	119614	91794	4932
gene-ACBP-like	52794	36210	10481	81295	11949	185181	132100	113903	293989	382883	300135	591696	44
