	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-_Bre2	4.526449	2.786169	5.693925	5.880325	0.704786	0.373812	2.225244	1.060767	1.055427	1.127814	0.513265	1.128554	0.99089
gene-_Bre3	1.317795	0.24106	0.899786	2.936274	0.185438	0.243287	0.561517	0.410104	0.807482	0.704422	1.402204	1.805311	2.459993
gene-_Bre4	3.828201	1.839037	5.548764	8.701296	3.047976	3.12375	1.469187	1.162666	1.463913	3.671832	4.217707	2.48639	2.911783
gene--w-2	0.139685	0.099901	0.025898	0.021051	0.067703	0	0.052188	0.039538	0.113064	0.196094	0	0	0.507731
gene-128up	3.857109	1.151728	3.468963	8.660701	1.89461	5.633161	1.528283	0.960673	1.562514	1.871581	3.251927	2.158957	9.287417
gene-14-3-3epsilon	228.976435	79.943149	122.770052	318.918976	119.992122	208.660806	52.097822	27.223978	43.902884	50.422282	86.631175	68.747331	450.317442
gene-14-3-3zeta	554.366625	449.902512	584.834317	885.19547	398.991925	319.947048	860.788147	646.886797	732.658913	659.851796	571.951347	655.149841	1066.392788
gene-140up	4.846915	2.1488	3.810391	11.262632	3.710661	5.200692	7.581904	4.321413	10.022775	6.088345	14.118218	11.510271	3.9027
gene-18w	0.008565	0.015527	0.229019	0.010419	0.212155	0.144743	0	0	0.023919	0.01514	0.013555	0	10.690459
gene-26-29-p	40.781237	24.385651	41.102726	12.942188	30.913422	11.513803	8.432879	5.417153	5.33509	3.445083	3.011412	1.390739	141.19204
gene-2mit	0	0	0	0	0	0	0	0	0.032808	0.018782	0	0	0.233485
gene-3HCD	52.772212	11.492604	20.797602	67.468158	15.157325	121.20022	90.112231	20.761294	127.496218	94.169996	111.816328	83.843842	58.485158
gene-5-HT2A	0.099467	0.017853	0.035158	0.049957	0.150847	0	0.052366	0.046137	0.047304	0.116483	0.021067	0.072652	0.093038
gene-5-HT2B	0.042232	0.123771	0.184688	0.009969	0.909805	0	0	0	0	0.006708	0	0	0.049929
gene-5PtaseI	1.298498	0.385974	1.170348	2.08608	0.666457	0.524233	0.911442	0.32277	0.136669	0.24684	0.229779	0.112393	0.924661
gene-6pgl	4.768684	0.929069	0.910609	11.36173	0.780783	3.127138	1.747307	0.477522	2.572253	2.00567	3.256207	3.422205	2.24079
gene-7B2	0.292612	0.114273	0.576816	0.115197	0.802826	0.151766	0.125217	0.138637	0.117256	0.191367	0.115331	0.156238	0.607356
gene-A1	363.030142	272.60917	192.479776	541.765	939.792742	6114.638466	75.781223	30.997495	50.084709	37.982561	58.458389	28.559755	470.53575
gene-A2	0.062337	0.168393	0.07232	0.027549	0	2.403808	0.045744	0	0.015499	0	0	0.075773	30.23182
gene-Aanat	0.570962	0	0.172325	0	0	0	0.416953	0.654387	0.300379	0.341615	0.082482	3.599666	0.095493
gene-AANATL7	0	0	0.136951	0.028671	0	0	0	0	0	0	0	0	0.153805
gene-Aasdh	5.576594	8.237963	14.065642	6.341525	7.493058	0.740875	6.440647	5.270097	4.188149	5.5114	3.348949	3.643542	1.800121
gene-Aatf	1.475322	0.95857	6.062146	7.417779	3.232109	1.236398	1.114947	0.684344	0.515694	1.137313	1.978136	1.051287	2.831235
gene-aay	242.092553	117.253262	426.531577	226.420422	89.273244	88.529238	214.613255	92.408294	182.447665	379.620464	334.868785	557.121021	32.380783
gene-ab	0	0.011533	0	0.008328	0	0	0	0	0.004691	0	0	0	2.033116
gene-ABCB7	7.639385	3.0505	5.229386	16.311004	1.138502	3.839685	4.848128	1.026839	2.112483	1.717222	1.863563	1.38382	3.262025
gene-ABCD	24.287301	19.053087	14.877167	12.19974	11.587367	3.850709	4.271126	3.196026	1.94791	4.141474	4.294326	2.403149	9.106065
gene-abd-A	0.191367	0.259589	0.502486	0.169528	0.95433	0.218281	0.054326	0.063738	0.045732	0.085193	0.018026	0.04634	59.256327
gene-Abd-b	0.143832	0.186826	0.749072	0.064549	1.026242	1.10464	0.100975	0.238182	0.073828	0.038772	0.030468	0	31.901555
gene-Abi	24.488397	14.486769	33.841952	40.466217	19.282307	10.177145	14.735706	10.38149	12.580074	10.236893	11.11431	13.327659	28.92712
gene-Abl	3.713062	1.352688	3.055605	3.337724	3.437508	1.22657	0.186425	0.052651	0.074999	0.183267	0.313492	0.176966	5.815393
gene-abo	3.830973	4.331051	17.376919	3.670102	6.276841	0.860045	5.417704	2.708923	2.74682	2.932834	2.252562	4.282543	2.650961
gene-Abp1	8.43682	6.597783	7.262482	15.845772	4.374852	1.16073	5.835881	3.456361	1.788838	6.05444	3.417251	4.162308	10.972825
gene-abs	4.852285	4.074965	14.909614	7.140519	5.857694	2.495294	3.766267	2.553426	2.004583	1.998654	1.158176	1.796786	5.749486
gene-ac	0	0	0	0	0.33909	0	0	0	0	0	0	0	0
gene-Ac13E	2.400675	1.181849	2.03387	1.871309	2.395097	1.005789	0.368472	0.246703	0.26265	0.346073	0.617087	0.315809	1.724038
gene-Ac3	0.021318	0.054185	0.082685	0.093467	0.069568	0.147326	0.020111	0.054586	0.01473	0	0.058819	0	0
gene-Acade	276.886771	86.255521	92.760582	423.249537	74.401864	239.485843	295.328399	92.319204	188.162342	260.220794	267.105359	213.378527	33.708395
gene-Acadvl	31.886666	16.899863	42.890485	29.331767	27.121217	19.117425	2.390211	1.773621	1.452117	1.065214	2.386018	2.599024	47.511512
gene-ACBP	1081.014062	295.697742	114.239722	3083.305409	175.581117	542.676276	2585.645096	3767.957562	4687.242129	3276.698649	4673.69625	3900.513851	261.964897
gene-ACBP-like	6168.407719	3952.18738	1839.660964	11650.64282	2639.246554	23840.937574	15750.662522	15324.715244	24354.58223	40175.442608	29159.279845	58108.394799	5.971928
gene-ACC	2.749284	0.902637	0.798586	3.668588	0.439878	1.762213	0.212798	0.086744	0.296322	0.612832	0.906798	0.358702	1.882123
gene-Acci	24.327734	4.863521	8.613024	35.797628	4.480162	46.625783	9.019425	1.753441	3.944009	14.402281	19.946737	14.620507	13.94313
gene-AcCoAS	0.82342	0.047159	0.550514	0.25795	0.238559	4.774446	0.420642	0.600707	2.16155	8.410717	3.464114	1.15771	1.302945
gene-ace1	0.874089	0.310543	1.02016	0.58959	0.646341	0.444597	0.350992	0.222237	0.201654	0.229715	0.383605	0.097905	0.350956
gene-ace2	0.358837	0.762934	0.030373	0.595692	1.176055	0.126735	0.078863	0.157212	0.123604	0.01973	0.008928	0.308014	1.303292
gene-Acf	1.01929	0.302639	0.651964	0.783362	0.63203	0.142409	0.209835	0.077737	0.016236	0.144952	0.168693	0.164416	0.747727
gene-Achi	1.630122	1.893228	4.070039	2.699467	2.172367	0.737474	0.681824	0.393877	0.132147	0.72673	0.250648	0.267631	5.611436
gene-Achl	0.027512	0.052741	0.022558	0.089713	0.21946	3.505311	0.073226	0.135624	0.020712	0	0.025498	0.01267	9.217157
gene-acj6	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-Ack	1.66379	1.367079	3.939547	1.358219	1.405389	0.440256	0.347029	0.47769	0.243698	0.31349	0.212618	0.310368	2.048087
gene-Ack-like	1.79379	1.050209	3.835876	2.0564	1.754175	0.673286	0.160328	0.177837	0.112776	0.187736	0.159555	0.040411	5.047385
gene-Acox3	11.053627	5.103988	6.742402	8.358763	3.607897	3.750441	5.734613	2.289843	5.41237	6.055706	4.546406	5.752412	15.730976
gene-Acsf2	357.350397	600.882133	792.764528	123.793536	1152.82531	35.542549	101.657503	135.30343	14.076177	24.276151	6.341831	23.929024	10.568347
gene-Acsf3	2.930263	0.529538	0.818485	6.042566	0.467853	2.891453	1.125091	0.420668	1.368686	2.17961	3.646055	1.102336	0.523096
gene-Acsl	70.249671	60.804326	224.308286	59.687795	76.445374	37.282325	8.361603	3.618018	6.638988	4.210559	23.494366	24.675786	14.890483
gene-Actbeta	0.057254	0.438945	0.608199	0	0.459383	0	0	0	0	0	0	0	0.912896
