"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-Akt",847.421465697043,-3.79689776225158,0.351893214846883,3.24771890896665e-28,3.38087538423429e-24,"down"
"gene-RpII215",1504.90670831355,-4.26843987412859,0.402172276231467,1.98997526264405e-27,1.03578212420623e-23,"down"
"gene-LOC142972658",68.3855600704531,8.94272451285427,3.21203481854853,5.55135079815252e-25,1.92631872695892e-21,"up"
"gene-LOC142982198",2545.00996863225,4.97316204387657,0.507667201644807,7.90227462179504e-24,1.58405559568515e-20,"up"
"gene-app",212.079160821757,-4.77665873559168,0.487444818763632,9.13000343334379e-24,1.58405559568515e-20,"down"
"gene-MED14",142.829916008394,-4.11448487581337,0.417925180262258,8.0214002542448e-24,1.58405559568515e-20,"down"
"gene-LOC142980569",795.747080508344,-4.64327988114336,0.482280750321475,4.01067350910677e-23,5.96444446140021e-20,"down"
"gene-Mi-2",1121.13620127851,-3.84423676561711,0.402815871882009,1.22371216839595e-22,1.59235545912523e-19,"down"
"gene-LOC142982010",237.109126392634,-4.67020963366385,0.495036041636319,3.14090425811683e-22,3.63297925855513e-19,"down"
"gene-Kdm3",684.80079073423,-3.42487966135156,0.370527702456313,2.27431657983329e-21,2.36756355960646e-18,"down"
"gene-ND-B17.2",4250.76837186398,3.10537853052352,0.336543904730115,2.91992719651107e-21,2.76331291960729e-18,"up"
"gene-LOC142979247",1017.63420983046,-3.95419630889039,0.430459385428854,3.23834345846727e-21,2.80926295022036e-18,"down"
"gene-LOC142980057",11214.2463016583,3.9537646102478,0.436373263838332,1.51152190581957e-20,1.21038023381398e-17,"up"
"gene-lig",1220.85106863502,-5.40894653262771,0.606944049102131,2.65408673213665e-20,1.97350306296732e-17,"down"
"gene-sip3",514.824371264034,-3.38594334640806,0.378093951599832,3.31670213178473e-20,2.3017912794586e-17,"down"
"gene-LOC142976191",9427.37982065669,3.71167407976676,0.41655705994783,4.40806096810007e-20,2.86799466737011e-17,"up"
"gene-NP15.6",4588.28355732566,3.53462326141991,0.403926739003039,2.18230574142839e-19,1.33634133930997e-16,"up"
"gene-bel",1447.31530773148,-2.15419618509052,0.247005410657767,5.04119339513656e-19,2.91549018018731e-16,"down"
"gene-LOC142972436",203.603372324663,-4.63546392628148,0.540381979897067,7.75986284294758e-19,4.25158801026759e-16,"down"
"gene-mtgo",262.315661846529,-6.13604628215063,0.724716795069848,1.65746868977439e-18,8.57548053889616e-16,"down"
"gene-LOC142983471",1200.79687370773,-3.41004213499212,0.400483321556632,1.7299240280194e-18,8.57548053889616e-16,"down"
