"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-Kdm3",684.80079073423,-5.49392889236243,0.399932256629948,2.42536672182979e-44,2.52480675742481e-40,"down"
"gene-bel",1447.31530773148,-2.76852357226483,0.248713938816193,1.10783533913588e-29,5.76628294020226e-26,"down"
"gene-LOC142980569",795.747080508344,-5.24125666881839,0.488807005812645,3.92346713898247e-28,1.36144309722692e-24,"down"
"gene-LOC142972658",68.3855600704531,10.3481619954728,3.25171603974398,1.43806456276748e-27,2.9940504196819e-24,"up"
"gene-hyd",808.763492102394,-3.32789970217646,0.312292640683402,1.324042889832e-27,2.9940504196819e-24,"down"
"gene-Akt",847.421465697043,-3.70105220161688,0.351846275713934,6.00740869450679e-27,1.04228540849693e-23,"down"
"gene-LOC142983471",1200.79687370773,-4.15158493676173,0.403451066683656,5.38786217319159e-26,8.01252074613206e-23,"down"
"gene-RpII215",1504.90670831355,-4.08645259468777,0.402445871213476,2.30249763836512e-25,2.99612505192262e-22,"down"
"gene-MED14",142.829916008394,-4.09907771640241,0.417546237961994,1.14920429786453e-23,1.32924630452998e-20,"down"
"gene-LOC142982010",237.109126392634,-4.867085242812,0.504253563529274,4.38585269134191e-23,4.56567265168693e-20,"down"
"gene-LOC142972485",286.629436230895,-4.3472322590513,0.464970399644023,6.22556727759648e-22,5.89165048725267e-19,"down"
"gene-LOC142982198",2545.00996863225,4.68603991017494,0.508280888925036,2.0597216588304e-21,1.78680853903537e-18,"up"
"gene-RasGAP1",239.470631873354,-4.15314612016748,0.453849123423796,2.6519519487701e-21,2.12360152205359e-18,"down"
"gene-hfp",424.911416276023,-5.17265521599232,0.568098587108547,4.10703463602479e-21,3.05387361150129e-18,"down"
"gene-LOC142972528",2067.42421305468,-4.45891469475973,0.494282871362013,1.4756927832522e-20,1.02413079157703e-17,"down"
"gene-LOC142982718",452.424521424118,-3.80582284741863,0.424514320588548,2.45710791546826e-20,1.59865583750153e-17,"down"
"gene-alphaCOP",1204.46175707385,-3.3891801091161,0.377737867960064,2.84251436123634e-20,1.74062202943943e-17,"down"
"gene-mRpL49",1384.88962323027,3.33548621529959,0.373671810781974,4.46038754408637e-20,2.57959079632995e-17,"up"
"gene-Sec24AB",641.979917681246,-4.2259043464436,0.482939249633704,1.53654283874477e-19,8.41863734280685e-17,"down"
"gene-RhoGEF2",599.839222913501,-5.33394552006991,0.622228521184674,4.84090964757966e-19,2.51969347156521e-16,"down"
"gene-lig",1220.85106863502,-5.19151119938415,0.606833312255969,6.29617467590778e-19,3.1211037322e-16,"down"
"gene-Sin3A",1730.73482028527,-7.46163304951368,0.883453855666834,1.14681683640372e-18,5.42652875771033e-16,"down"
"gene-ND-B17.2",4250.76837186398,2.87718558069564,0.336799328435776,1.56006904284935e-18,7.06100814611382e-16,"up"
"gene-drpr",1029.06298566532,-3.42460626099916,0.402569687702954,1.68482308560352e-18,7.30792013380529e-16,"down"
"gene-Zn72D",1029.97800671505,-3.69177774250744,0.436409671480254,2.27429305120231e-18,9.4701562652064e-16,"down"
"gene-app",212.079160821757,-3.80704531052779,0.452471351490613,5.06373809198226e-18,1.9867532082875e-15,"down"
"gene-LOC142979270",1618.80886790017,2.3175253583393,0.274454303157903,5.15296221169668e-18,1.9867532082875e-15,"up"
"gene-Chc",3740.79069670514,-4.08155914183319,0.492889537904887,9.11031811652523e-18,3.38708612832242e-15,"down"
"gene-Esp",864.598587632729,-3.58663309187598,0.432499878178704,1.051865281614e-17,3.77583364882818e-15,"down"
"gene-LOC142986676",723.01311375318,-4.15534944477016,0.505146022199904,1.14467694830031e-17,3.97202901060209e-15,"down"
"gene-LOC142984548",250.386132711376,3.72857704158038,0.452156299963167,1.35074889896389e-17,4.53590194781101e-15,"up"
"gene-Hipk",938.118449440869,-2.32258457040836,0.28001006965925,1.57652323149073e-17,5.12862713744329e-15,"down"
"gene-IscU",3594.87197966974,3.39918997421412,0.41733185012422,3.71055241302322e-17,1.17051062483551e-14,"up"
"gene-eIF4B",1365.52853857598,-3.24787822124118,0.39952474457426,4.06605653179027e-17,1.24493083811578e-14,"down"
"gene-PlexA",1471.81910450122,-2.15969877858224,0.263248728764502,4.30361081162794e-17,1.28001681568705e-14,"down"
"gene-ctrip",967.775616503699,-4.42261788331722,0.547626374410649,4.67882706949506e-17,1.35296082759566e-14,"down"
