gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
gene-Kdm3,668.3761526631721,-3.538032149762276,0.3387136651899582,-10.692074853980085,1.1086267617765246e-26,3.2856440303951285e-23,down
gene-Akt,830.9906295978416,-3.865305289704098,0.371329568943077,-10.676108836842356,1.3167594551227848e-26,3.2856440303951285e-23,down
gene-Mi-2,1071.9082089010146,-3.869200229583639,0.3678949173832936,-10.781827352933073,4.194687496880393e-27,3.2856440303951285e-23,down
gene-LOC142979247,967.3013988909516,-3.950611975249524,0.3783601889260651,-10.710448410205464,9.092035047937674e-27,3.2856440303951285e-23,down
gene-RpII215,1471.3183735839802,-4.274769985586733,0.4193993962079291,-10.47629602406671,1.110065459509322e-25,2.2159126702725084e-22,down
gene-LOC142982010,226.9147363002741,-4.694371295360225,0.4851306683992631,-9.958674214109248,2.3112418652748082e-23,3.844750842884643e-20,down
gene-LOC142980057,11160.080694084552,3.9506016412194103,0.4098787507442692,9.923251283923628,3.2983344548542505e-23,4.7029537419857536e-20,up
gene-ND-B17.2,4209.338591870494,3.100051406407878,0.3276208063769508,9.715878910481065,2.580133484279205e-22,3.219039038323843e-19,up
gene-app,214.28527814363252,-4.955893016275031,0.5282724184783668,-9.669191989083386,4.0758328171403312e-22,4.520098594208627e-19,down
gene-sip3,504.201436284855,-3.424697368556937,0.3698819944522949,-9.536027067069655,1.4840915978568479e-21,1.4247334089600634e-18,down
gene-MED14,140.7344972727803,-4.211399434937651,0.4548866687626068,-9.530174538907914,1.5701901110670973e-21,1.4247334089600634e-18,down
gene-LOC142982198,2565.6125387701977,4.953827631975716,0.5401549340880342,9.501206613613835,2.074721531752395e-21,1.7256496340350544e-18,up
gene-LOC142980569,809.2838736984895,-4.796040573544269,0.5281649919353842,-9.405706130119857,5.168200020471793e-21,3.9679849541791495e-18,down
gene-hfp,406.745666142009,-4.594606677265221,0.5079925888904768,-9.359575829497707,8.005743730538101e-21,5.707523441035771e-18,down
gene-LOC142972436,197.87631054194412,-4.677035379107204,0.5257536284495921,-9.202559130487346,3.4952442963711676e-20,2.325735554805375e-17,down
gene-LOC142972444,261.5308742994021,-4.564633228559319,0.5152769760216598,-9.17466340216418,4.5298742882282284e-20,2.825792204425372e-17,down
gene-Stam,1200.4315464481354,-6.071307257017025,0.6899033699501558,-9.158558458568576,5.259517683406596e-20,3.0879556469459546e-17,down
