gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
gene-Kdm3,668.3761526631721,-5.4743838463673695,0.3707211105256015,-15.005031465122698,6.805866658404448e-51,6.94674809823342e-47,down
gene-hyd,780.816254185328,-3.2680507382488484,0.3121364351549091,-10.725553576950649,7.722327233719872e-27,3.9410897037289376e-23,down
gene-LOC142983471,1200.1447933387913,-4.168711044615144,0.4167878567791279,-10.293649528075086,7.526829238561142e-25,2.5608782012664525e-21,down
gene-LOC142980569,809.2838736984895,-5.2482389473303765,0.5340572248249043,-10.151785956122383,3.2535405805759222e-24,8.302222176484608e-21,down
gene-Akt,830.9906295978416,-3.647809405515922,0.3715329986649424,-10.09851620322973,5.6084326110871675e-24,1.1449054332273343e-20,down
gene-hfp,406.745666142009,-5.126102083699338,0.5301942286168883,-10.019223290259744,1.2548519120389224e-23,2.134712244363547e-20,down
gene-LOC142982010,226.9147363002741,-4.802136957372091,0.494647755183027,-9.974455349546805,1.9718028033842126e-23,2.87517017344895e-20,down
gene-bel,1426.98017762236,-2.725526969652236,0.2809073638431467,-9.92869223597252,3.1232475508691373e-23,3.680060643748203e-20,down
gene-RpII215,1471.3183735839802,-4.047997702524111,0.4198846598904389,-9.924881312219783,3.244885450547059e-23,3.680060643748203e-20,down
gene-LOC142979270,1608.1029121887716,2.3424551940376848,0.2492905330567843,9.602766273085226,7.78270822347108e-22,7.943810283696931e-19,up
gene-ctrip,914.3262170694366,-4.379904294351885,0.475446962440386,-9.540424438663008,1.4224892591750201e-21,1.3199407153090393e-18,down
gene-Sec24AB,627.5558906064496,-4.207047938741534,0.4613762934460713,-9.432013879306814,4.022896055913658e-21,3.42180833689256e-18,down
gene-LOC142984078,314.7000909562359,-3.999481721863872,0.4390074611788098,-9.405905054933726,5.158432350233438e-21,4.050162999910208e-18,down
gene-Zn72D,1018.683206051182,-3.72379421225789,0.4092310747419272,-9.392740393030609,5.8459094653463824e-21,4.262085565199323e-18,down
gene-RhoGEF2,605.2835685803592,-5.427219332301748,0.6081620515448896,-9.297098407550402,1.4433062059074882e-20,9.82121762913182e-18,down
gene-Sin3A,1566.8233798036754,-7.342926840840644,0.8271733313934766,-9.277313998509747,1.7380466658818404e-20,1.1087651449159965e-17,down
gene-MED14,140.7344972727803,-4.058486300746464,0.4549229887131366,-9.19355436037666,3.800705707488976e-20,2.281988420961175e-17,down
gene-PlexA,1419.299178275025,-2.131635417440907,0.2371180756823046,-9.178340513079696,4.377857545835515e-20,2.482488442796839e-17,down
gene-mRpL49,1362.190056628317,3.33501385617184,0.3773433305919826,9.12492100920138,7.178859133854458e-20,3.8565586936448656e-17,up
gene-ND-B17.2,4209.338591870494,2.8985146627516567,0.3278062262483595,9.101680901078051,8.894442980822091e-20,4.5392789752625546e-17,up
gene-LOC142982198,2565.6125387701977,4.715601692742776,0.5408231600618009,9.061491162906051,1.2867919389040765e-19,6.254421581139956e-17,up
gene-LOC142984548,253.96012224410225,3.801595340361888,0.4368489462880295,9.02052656747821,1.8718736336162856e-19,8.684642808327922e-17,up
gene-RasGAP1,240.1390405084354,-4.149566461267835,0.4847249562874288,-8.922001102847279,4.579376686579271e-19,2.0322477321702004e-16,down
gene-cut,140.23960907642777,-3.89627908836852,0.4557514039287709,-8.83703445127897,9.829283719620812e-19,4.180312455257068e-16,down
gene-LOC142972444,261.5308742994021,-4.37384059566619,0.5156225204685653,-8.814865461695803,1.1982887056122029e-18,4.892373127273501e-16,down
gene-LOC142972485,282.3151577332548,-4.28770057722748,0.5086696877923556,-8.768153946218993,1.816194017832625e-18,7.1299585923144645e-16,down
gene-SERCA,3709.311812499433,-4.784384068280804,0.5720699447366161,-8.720404029808273,2.772108215700875e-18,1.0479595762095861e-15,down
gene-RpL13,45233.5468748245,2.519093319912781,0.3001219821776919,8.666110698776507,4.471322332829074e-18,1.6299566803995129e-15,up
gene-RpS23,43803.07364593415,2.8394252475386828,0.3403662922180676,8.66195456587379,4.637431956136138e-18,1.6322161371131574e-15,up
gene-LOC142984753,789.8869660875284,4.685270414785256,0.566326836458608,8.633773010040244,5.93607396321348e-18,2.019650231417333e-15,up
gene-Chc,3623.133733797947,-4.024229653611042,0.4867956738216837,-8.60552738560699,7.59666594907685e-18,2.501263527168626e-15,down
gene-RpS11,30931.83783914985,2.9793927713727264,0.3593729750823819,8.578169531544193,9.639480501043715e-18,3.074693046067287e-15,up
gene-IscU,3552.984530389764,3.414383121674925,0.4136423854413393,8.562254579672432,1.1068146589922242e-17,3.322722713039304e-15,up
gene-lig,1223.351006355413,-5.215351600111686,0.6369589365577915,-8.562316518676317,1.106220029553486e-17,3.322722713039304e-15,down
gene-drpr,1025.8275573584776,-3.434983661775708,0.4194843131689788,-8.504967387948541,1.816466475117825e-17,5.215208514090844e-15,down
gene-LOC142986676,712.8240727218787,-4.129806520895012,0.5072757357031626,-8.503511724897526,1.8393994955155325e-17,5.215208514090844e-15,down
gene-eEF5,25115.461060108504,2.15049320266468,0.2625228760855779,8.451146065041385,2.884571026307115e-17,7.957517963653168e-15,up
gene-MED9,686.558290885342,2.642068359902998,0.3239838400548309,8.419149176686624,3.792282719126703e-17,1.0186270977401646e-14,up
gene-fry,201.65098534269745,-3.4386340467397583,0.4284743772746079,-8.331245715810983,7.999610344597426e-17,2.093641609930921e-14,down
gene-alphaCOP,1158.105611098931,-3.323792070174224,0.4159707203340969,-8.308852654062651,9.663182001281588e-17,2.4658024671770292e-14,down
gene-fray,558.8196253494738,-2.481725451590445,0.3104412324124599,-8.243302520788006,1.6752130666170147e-16,4.1704633587707e-14,down
gene-RpL14,38962.82557612551,2.5944097571357183,0.3265162983812797,8.223255603750895,1.9805211955574667e-16,4.8131380578702526e-14,up
gene-NP15.6,4514.543844946954,3.196470864070647,0.4048040402729255,8.208409002111654,2.2413858174565673e-16,5.3204244276230655e-14,up
gene-Dscam1,208.0497687289344,-4.721561857698932,0.6050058253422804,-8.205333928104912,2.299508478565403e-16,5.334337054708425e-14,down
gene-LOC142976071,5370.535002981736,3.015344464710303,0.3820769609933767,8.201613702766853,2.371814057316619e-16,5.3798013517846075e-14,up
gene-LOC142972528,2055.5463642929603,-4.392973058382359,0.562942784118462,-8.18548813012973,2.712021186649793e-16,6.017739185246618e-14,down
gene-LOC142982718,443.69211444051945,-3.7527529672650366,0.4797672160146691,-8.16667165096173,3.170142124107654e-16,6.884604395907836e-14,down
gene-mbf1,4778.6014864619065,2.537991624832002,0.3227492070000975,8.130034199039875,4.2916933706953655e-16,9.126107132226585e-14,up
gene-mtgo,282.7358197910041,-9.732782216301109,1.2209799739599263,-8.074741559934836,6.761971033454269e-16,1.408559966091178e-13,down
gene-Spt5,629.7256054740125,-3.709518467387402,0.4820519244288791,-8.055086481893278,7.942263372364214e-16,1.6213336448344308e-13,down
gene-Esp,863.2448725531335,-3.54401423849506,0.4600414293137487,-8.05213223420778,8.136392887489145e-16,1.6283953373059157e-13,down
gene-LOC142981272,419.2226953819725,3.343251888587992,0.4330118933491979,8.048071834700622,8.410857943462145e-16,1.6509543659407331e-13,up
gene-LOC142982993,647.5762831786848,-2.38828835137314,0.3069037577703304,-8.041446417678918,8.878416824965789e-16,1.705510020414497e-13,down
gene-ALiX,1462.8240606372335,-3.479970442616447,0.4522967335896495,-8.039467403023655,9.022978456195046e-16,1.705510020414497e-13,down
gene-zip,2517.9395806223865,-2.6194037083152573,0.3377356095433114,-8.0367520542884,9.225107447652446e-16,1.7120122130579734e-13,down
gene-Cln7,344.4778051797239,-3.8031111312137287,0.4961939218853579,-8.021073493971166,1.0482498282139432e-15,1.9106224993892357e-13,down
gene-Su(z)12,83.54079944053926,-7.145840841157121,0.9032586317457276,-7.989864447919621,1.3508720362342958e-15,2.419008925235694e-13,down
gene-SF1,348.63573172342177,-5.765699404001025,0.7526837723430129,-7.980363230804504,1.459032888934142e-15,2.567646327129446e-13,down
gene-LOC142973978,336.7602740195913,-2.3553227983594542,0.3050616359817367,-7.973100334010389,1.5474244481761713e-15,2.6770442953447764e-13,down
gene-DCTN5-p25,955.2461020901652,2.180795798835494,0.2821672233401014,7.961386059486177,1.701226792897564e-15,2.8940703125175733e-13,up
gene-Cka,374.8887782550274,-4.230898078829893,0.5593188567179939,-7.938311779722738,2.0495163285884e-15,3.429411994410131e-13,down
gene-app,214.28527814363252,-3.781840279329468,0.4974766009737885,-7.929436540666535,2.2014241687097827e-15,3.624183304842057e-13,down
gene-raptor,282.72424373335167,-4.212069569407354,0.5579050270350193,-7.926047613716624,2.2623087982946785e-15,3.6652993498720293e-13,down
gene-Mi-2,1071.9082089010146,-2.785926167343553,0.3653165421038954,-7.921279137616833,2.350795272858069e-15,3.749151148447236e-13,down
gene-RpL9,37674.06429627014,2.535145988684148,0.3320438280919923,7.91415684860377,2.489343085509123e-15,3.9090345959679417e-13,up
gene-Btr175,8028.852903686557,-3.3250676326451742,0.4408041847890518,-7.88665838154441,3.10385559120561e-15,4.800159699914496e-13,down
gene-LOC142980159,282.1751694042658,-3.701327247620424,0.4894459748962591,-7.8824595388190515,3.2099897477552832e-15,4.890203784378833e-13,down
gene-LOC142979245,2210.4695116634507,2.896628115495904,0.3824094757082697,7.875526571517701,3.3931075155961048e-15,5.019340349520209e-13,up
gene-LOC142980840,625.1622408919737,-4.2348506210695,0.5659902135591207,-7.876209017327849,3.374635307918325e-15,5.019340349520209e-13,down
gene-LOC142983778,191.96495048677343,-2.316231916903773,0.3043055862872783,-7.867615790985605,3.614636628944794e-15,5.195874559300623e-13,down
gene-sip3,504.201436284855,-2.7805983673623365,0.3677394231454384,-7.865878519777958,3.665160853038551e-15,5.195874559300623e-13,down
gene-RpS15A,28114.04171146598,2.9351114835694148,0.3889299006477835,7.868718783072958,3.582915389583304e-15,5.195874559300623e-13,up
gene-RpL30,29804.595990592145,2.9294172233157147,0.3879728317527249,7.860414599819628,3.828640789687782e-15,5.353278978129204e-13,up
gene-Ranbp21,272.7631595673891,-4.990015442568549,0.6760970747699794,-7.830042401708738,4.877054570139761e-15,6.727039999650882e-13,down
