gene_id,gene_symbol,event_type,probability_changing,dpsi_mean
gene-LOC142972990,LOC142972990,s,1.0,0.639
gene-LOC142972990,LOC142972990,s,1.0,-0.6363
gene-Ars2,Ars2,s,0.9935,0.4076
gene-Ars2,Ars2,s,0.9935,-0.4076
gene-LOC142975207,LOC142975207,t,0.9997,0.4789
gene-LOC142975207,LOC142975207,t,0.9997,-0.4789
gene-LOC142981941,LOC142981941,t,0.9995,-0.4666
gene-Mmp1,Mmp1,t,0.9918,-0.3653
gene-Drip,Drip,t,0.9977,0.276
gene-LOC142985257,LOC142985257,s,1.0,0.3967
gene-LOC142985257,LOC142985257,s,1.0,-0.3967
gene-l(2)37Cd,l(2)37Cd,t,0.9767,-0.3155
gene-l(2)37Cd,l(2)37Cd,t,0.9767,0.3155
gene-mop,mop,s,0.9941,0.3537
gene-mop,mop,s,0.9941,-0.3537
gene-Acsl,Acsl,t,0.9245,0.2547
gene-IP3K1,IP3K1,t,0.9221,-0.3224
gene-SERCA,SERCA,s,0.9925,-0.3007
gene-SERCA,SERCA,s,0.9921,0.3003
gene-LOC142972894,LOC142972894,s,1.0,0.3932
gene-LOC142972894,LOC142972894,s,1.0,-0.4059
gene-Zasp52,Zasp52,t,0.9999,-0.6047
gene-Zasp52,Zasp52,t,0.9999,0.6047
gene-LOC142973004,LOC142973004,t,1.0,-0.4487
gene-LOC142973004,LOC142973004,t,1.0,0.4007
gene-DLDH,DLDH,t,1.0,-0.501
gene-DLDH,DLDH,t,1.0,0.4417
gene-Papss,Papss,t,1.0,0.4953
gene-Papss,Papss,t,1.0,-0.4953
gene-Ctns,Ctns,t,0.9523,0.3103
gene-Ctns,Ctns,s,0.9889,0.3389
gene-Ctns,Ctns,s,0.9722,-0.3289
gene-lili,lili,s,0.9984,0.4025
gene-lili,lili,s,0.9984,-0.4025
gene-Efa6,Efa6,t,0.9856,-0.299
gene-Efa6,Efa6,t,0.9856,0.299
gene-rdx,rdx,s,0.918,-0.3384
gene-rdx,rdx,s,0.918,0.3384
gene-LOC142973709,LOC142973709,t,1.0,0.4064
gene-LOC142973709,LOC142973709,t,1.0,-0.4064
gene-LOC142973709,LOC142973709,s,1.0,-0.4466
gene-LOC142973709,LOC142973709,s,1.0,0.4466
gene-LOC142974400,LOC142974400,t,0.9997,0.4656
gene-LOC142974487,LOC142974487,t,0.9999,0.509
gene-LOC142974487,LOC142974487,t,0.9999,-0.509
gene-RpL38,RpL38,s,0.9063,-0.304
gene-RpL38,RpL38,s,0.9063,0.304
gene-LOC142975160,LOC142975160,t,1.0,0.4591
gene-LOC142975160,LOC142975160,t,1.0,-0.4591
gene-kl-2,kl-2,s,0.9206,0.3759
