gene_id,gene_symbol,event_type,probability_changing,dpsi_mean
gene-LOC142987884,LOC142987884,t,0.9993,-0.3917
gene-Rcd5,Rcd5,t,0.9487,-0.2793
gene-LOC142976944,LOC142976944,s,1.0,0.788
gene-LOC142976944,LOC142976944,s,1.0,-0.788
gene-Jafrac1,Jafrac1,t,1.0,0.4432
gene-Jafrac1,Jafrac1,t,0.9534,-0.2826
gene-LOC142979774,LOC142979774,t,1.0,0.4294
gene-LOC142979774,LOC142979774,t,1.0,-0.4294
gene-LOC142981381,LOC142981381,s,0.9651,-0.3347
gene-mtd,mtd,t,1.0,0.4792
gene-mtd,mtd,t,1.0,-0.5594
gene-Sclp,Sclp,t,0.9993,0.4564
gene-Sclp,Sclp,t,0.9993,-0.4564
gene-Rab5,Rab5,t,1.0,-0.3772
gene-Rab5,Rab5,t,1.0,0.3772
gene-Acci,Acci,t,0.9645,-0.2791
gene-Acci,Acci,t,0.9628,0.2779
gene-Caper,Caper,s,0.9111,-0.2793
gene-Caper,Caper,t,0.9995,-0.3901
gene-mop,mop,s,1.0,0.6
gene-mop,mop,s,1.0,-0.6
gene-Acsl,Acsl,t,0.9251,0.2548
gene-Acsl,Acsl,t,1.0,-0.6698
gene-Acsl,Acsl,t,0.9511,-0.2782
gene-Acsl,Acsl,t,0.9511,0.2782
gene-ine,ine,t,1.0,-0.6166
gene-ine,ine,t,1.0,0.6166
gene-LOC142972533,LOC142972533,s,0.9985,-0.3466
gene-LOC142987859,LOC142987859,t,0.999,0.4707
gene-LOC142987859,LOC142987859,t,0.999,-0.4707
gene-LOC142972779,LOC142972779,t,0.9366,0.4095
gene-LOC142972779,LOC142972779,t,0.9366,-0.4095
gene-Hakai,Hakai,s,0.9984,-0.5793
gene-Hakai,Hakai,s,0.9984,0.5793
gene-LOC142972894,LOC142972894,s,0.9907,-0.278
gene-LOC142973004,LOC142973004,s,0.9016,0.2648
gene-LOC142973004,LOC142973004,s,0.9016,-0.2648
gene-LOC142973004,LOC142973004,t,0.9494,-0.31
gene-LOC142973004,LOC142973004,t,0.9494,0.31
gene-DLDH,DLDH,t,1.0,-0.6435
gene-DLDH,DLDH,t,1.0,0.5613
gene-DLDH,DLDH,s,0.998,-0.3152
gene-DLDH,DLDH,s,0.998,0.3152
gene-Papss,Papss,t,1.0,0.664
gene-Papss,Papss,t,1.0,-0.664
gene-Lmpt,Lmpt,t,0.9437,0.2704
gene-Lmpt,Lmpt,t,0.947,-0.2717
gene-LOC142973568,LOC142973568,s,1.0,-0.786
gene-LOC142973568,LOC142973568,s,1.0,0.786
gene-CAP,CAP,t,0.9907,0.3512
gene-CAP,CAP,t,0.9809,-0.3445
gene-LOC142973636,LOC142973636,t,0.9073,-0.283
gene-LOC142973709,LOC142973709,s,0.9968,0.3114
gene-LOC142973709,LOC142973709,s,0.9968,-0.3114
gene-LOC142974497,LOC142974497,s,0.971,-0.4127
gene-LOC142974497,LOC142974497,s,0.971,0.4127
gene-RpL38,RpL38,s,0.9812,-0.3255
gene-RpL38,RpL38,s,0.9812,0.3255
gene-LOC142975028,LOC142975028,t,0.9896,0.2912
gene-stv,stv,t,0.9983,-0.4597
gene-stv,stv,t,0.9997,0.4557
gene-kl-2,kl-2,t,1.0,-0.6204
gene-kl-2,kl-2,t,1.0,0.6204
gene-kl-2,kl-2,t,1.0,-0.3976
gene-kl-2,kl-2,t,1.0,0.3976
gene-LOC142975353,LOC142975353,s,1.0,-0.5363
gene-LOC142975353,LOC142975353,s,1.0,0.5363
gene-fusl,fusl,t,1.0,0.3527
gene-fusl,fusl,t,1.0,-0.3527
gene-LOC142975324,LOC142975324,t,0.9275,0.2585
gene-LOC142975324,LOC142975324,t,0.9275,-0.2585
gene-Psf,Psf,s,0.9559,0.3577
gene-Psf,Psf,s,0.9559,-0.3577
gene-LOC142975273,LOC142975273,t,1.0,0.457
gene-LOC142976263,LOC142976263,s,1.0,0.9032
gene-LOC142976263,LOC142976263,s,1.0,-0.9668
gene-Iap,Iap,s,1.0,-0.5854
gene-Iap,Iap,s,1.0,0.639
gene-LOC142975866,LOC142975866,s,0.9638,0.4025
gene-LOC142975866,LOC142975866,s,0.9638,-0.4025
gene-Son,Son,t,1.0,0.4947
gene-Son,Son,t,1.0,-0.535
gene-LOC142976529,LOC142976529,t,1.0,-0.3238
gene-LOC142976529,LOC142976529,t,1.0,0.3227
gene-LOC142976529,LOC142976529,s,0.9553,0.2689
gene-LOC142976529,LOC142976529,s,0.9553,-0.2689
gene-scrib,scrib,t,0.9773,0.3306
gene-scrib,scrib,t,0.983,-0.3412
gene-CREG,CREG,t,1.0,-0.8348
gene-CREG,CREG,t,1.0,0.7617
gene-LOC142976781,LOC142976781,s,1.0,-0.9736
gene-LOC142976781,LOC142976781,s,1.0,0.9736
gene-LOC142976446,LOC142976446,t,0.9821,0.3845
gene-LOC142976446,LOC142976446,t,0.9821,-0.3845
gene-sqd,sqd,s,0.9954,0.2789
gene-sqd,sqd,s,1.0,-0.347
gene-mlt,mlt,s,0.9779,-0.4466
gene-mlt,mlt,s,0.9779,0.4466
gene-CanB,CanB,s,1.0,-0.6024
gene-CanB,CanB,s,1.0,0.6024
gene-LOC142977978,LOC142977978,s,0.9969,0.492
gene-LOC142977978,LOC142977978,s,0.9968,-0.4911
gene-LOC142977978,LOC142977978,t,0.9994,-0.5036
gene-LOC142977978,LOC142977978,t,1.0,0.5613
gene-Ip6k,Ip6k,s,1.0,0.6169
gene-Ip6k,Ip6k,s,1.0,-0.6147
gene-Ip6k,Ip6k,t,1.0,0.6016
gene-Ip6k,Ip6k,t,1.0,-0.8459
gene-S6KL,S6KL,s,0.9927,0.3606
gene-S6KL,S6KL,s,0.9977,-0.381
gene-LOC142977797,LOC142977797,s,0.9989,0.4681
gene-LOC142977797,LOC142977797,s,0.9989,-0.4681
gene-LOC142978177,LOC142978177,s,0.9165,-0.3246
gene-nebu,nebu,t,0.9894,-0.393
gene-nebu,nebu,t,0.9276,-0.3004
gene-nebu,nebu,t,1.0,0.6375
