gene_id,gene_symbol,event_type,probability_changing,dpsi_mean
gene-Rab32,Rab32,t,0.9554,0.2615
gene-LOC142987884,LOC142987884,t,1.0,-0.4187
gene-LOC142972990,LOC142972990,t,1.0,-0.5679
gene-LOC142972990,LOC142972990,t,1.0,0.5683
gene-LOC142972990,LOC142972990,t,1.0,0.3613
gene-LOC142972990,LOC142972990,t,0.9805,0.2978
gene-LOC142972990,LOC142972990,t,0.9805,-0.2978
gene-LOC142972990,LOC142972990,s,0.9995,0.3838
gene-scramb1,scramb1,t,0.9998,0.5696
gene-scramb1,scramb1,t,0.9998,-0.5696
gene-LOC142976944,LOC142976944,s,1.0,0.682
gene-LOC142976944,LOC142976944,s,1.0,-0.682
gene-Jafrac1,Jafrac1,t,0.9095,0.2715
gene-LOC142979774,LOC142979774,t,1.0,0.449
gene-LOC142979774,LOC142979774,t,1.0,-0.449
gene-LOC142981381,LOC142981381,s,0.9883,-0.3788
gene-mtd,mtd,t,0.9477,-0.3742
gene-bif,bif,t,1.0,0.5436
gene-bif,bif,t,1.0,-0.5436
gene-LOC142987347,LOC142987347,s,0.9885,0.3743
gene-LOC142987347,LOC142987347,t,0.9775,-0.3278
gene-LOC142987347,LOC142987347,t,0.9992,0.3909
gene-Caper,Caper,s,1.0,-0.4503
gene-Caper,Caper,t,1.0,-0.5348
gene-Caper,Caper,t,0.9632,0.2869
gene-Caper,Caper,t,0.9982,-0.3472
gene-LOC142987113,LOC142987113,t,0.978,0.292
gene-LOC142987113,LOC142987113,t,0.9795,-0.2929
gene-LOC142987113,LOC142987113,s,0.9969,-0.3538
gene-LOC142987113,LOC142987113,s,0.9896,0.3391
gene-l(3)80Fj,l(3)80Fj,t,1.0,0.7797
gene-l(3)80Fj,l(3)80Fj,t,1.0,-0.7797
gene-Nsun5,Nsun5,t,0.9651,0.2983
gene-Nsun5,Nsun5,t,0.9651,-0.2983
gene-ine,ine,t,0.988,-0.3307
gene-ine,ine,t,0.988,0.3307
gene-LOC142972533,LOC142972533,s,0.9985,-0.3542
gene-LOC142987859,LOC142987859,t,1.0,0.561
gene-LOC142987859,LOC142987859,t,1.0,-0.561
gene-LOC142972779,LOC142972779,t,0.9776,0.4005
gene-LOC142972779,LOC142972779,t,0.9776,-0.4005
gene-LOC142972892,LOC142972892,t,0.9838,-0.3448
gene-LOC142972894,LOC142972894,s,1.0,-0.3833
gene-LOC142972894,LOC142972894,t,0.9702,0.3541
gene-LOC142972894,LOC142972894,t,0.9999,-0.4151
gene-LOC142973004,LOC142973004,s,0.9952,0.3021
gene-LOC142973004,LOC142973004,s,0.9952,-0.3021
gene-LOC142973004,LOC142973004,t,1.0,-0.516
gene-LOC142973004,LOC142973004,t,1.0,0.516
gene-DLDH,DLDH,t,1.0,-0.4153
gene-DLDH,DLDH,t,1.0,0.3663
gene-DLDH,DLDH,s,0.9666,-0.2804
gene-DLDH,DLDH,s,0.9666,0.2804
gene-Lmpt,Lmpt,t,0.9084,0.2635
gene-Lmpt,Lmpt,t,0.9093,-0.264
gene-LOC142973600,LOC142973600,t,0.918,0.4016
gene-LOC142973600,LOC142973600,t,0.918,-0.4016
gene-CAP,CAP,t,0.9931,0.3522
