gene_id,gene_symbol,event_type,FDR,IncLevelDifference
gene-LOC142986182,LOC142986182,SE,0.0177057427265016,0.175
gene-LOC142985010,LOC142985010,SE,2.1929912585808e-07,0.421
gene-LOC142985151,LOC142985151,SE,0.00037639554202341456,0.127
gene-LOC142984291,LOC142984291,SE,0.0007130381157173023,0.389
gene-LOC142983470,LOC142983470,SE,0.00569980078066495,-0.129
gene-LOC142982002,LOC142982002,SE,0.002497548241689334,-0.106
gene-Eb1,Eb1,SE,0.007775078465265313,0.13
gene-LOC142985598,LOC142985598,SE,0.02038639586481293,0.127
gene-gdl,gdl,SE,0.001994097743061215,0.198
gene-LOC142974966,LOC142974966,SE,4.321888846795733e-08,0.247
gene-LOC142974966,LOC142974966,SE,5.155258603114079e-07,0.105
gene-gish,gish,SE,0.00010982046164431447,0.113
gene-gish,gish,SE,0.03550084778351495,0.346
gene-LOC142972892,LOC142972892,SE,0.0007130381157173023,-0.1
gene-mxt,mxt,SE,0.033138219840881285,0.372
gene-LOC142976074,LOC142976074,SE,0.020321728681000857,-0.104
gene-scrib,scrib,SE,0.0177057427265016,0.118
gene-LOC142976195,LOC142976195,SE,0.006484976861036571,-0.121
gene-LOC142987248,LOC142987248,SE,0.015574199123788319,0.161
gene-Mmp1,Mmp1,SE,0.0016997715822878695,0.204
gene-Sam-S,Sam-S,SE,3.646507449845077e-07,0.172
gene-14-3-3zeta,14-3-3zeta,SE,0.0006707493063717846,-0.16
gene-Dg,Dg,SE,0.035746096081103754,-0.255
gene-ckn,ckn,SE,0.025000363746761334,0.293
gene-sgg,sgg,SE,3.76147113456525e-10,0.181
gene-LOC142974007,LOC142974007,SE,0.04862008553538953,0.137
gene-eIF2Bbeta,eIF2Bbeta,SE,0.0036312447655366497,-0.11
gene-Oscillin,Oscillin,SE,0.02339241797528552,-0.128
gene-dbf,dbf,SE,0.04242866628359059,-0.147
gene-LOC142972211,LOC142972211,SE,3.153275921252112e-05,0.113
gene-LOC142972211,LOC142972211,SE,0.0405734140834764,0.127
gene-VhaSFD,VhaSFD,SE,0.0010852118299861826,0.111
gene-LOC142980887,LOC142980887,SE,0.006484976861036571,0.411
gene-cib,cib,SE,0.0009733962902498665,-0.115
gene-wupA,wupA,SE,0.000337710233184885,0.143
gene-tn,tn,SE,0.023958365953467273,-0.194
gene-me31B,me31B,SE,0.01851297617018341,-0.107
gene-Psf,Psf,SE,1.786799421497739e-05,-0.431
gene-LOC142976095,LOC142976095,SE,0.013145559297183708,0.167
gene-Tm1,Tm1,SE,0.016794786682225078,-0.101
gene-LOC142976358,LOC142976358,SE,0.001994097743061215,-0.15
gene-LOC142982314,LOC142982314,SE,1.455067685387417e-09,0.799
gene-SF1,SF1,SE,0.0006249513124378704,0.229
gene-Tip60,Tip60,SE,0.015240828624914262,-0.439
gene-tmod,tmod,SE,0.0005114543425874708,0.16
gene-Zn72D,Zn72D,SE,1.1329562933204211e-05,0.111
gene-S6KL,S6KL,SE,0.02025010551648694,0.307
gene-LOC142977695,LOC142977695,SE,0.00071161508277009,-0.1
gene-Pdzd8,Pdzd8,SE,0.00011192971766172,0.123
gene-LOC142978424,LOC142978424,SE,0.0058056654758480005,-0.12
gene-LOC142978424,LOC142978424,SE,0.02038639586481293,-0.173
gene-CalpA,CalpA,SE,0.005128282644642827,0.28
gene-LOC142973709,LOC142973709,SE,1.86418693815009e-08,0.39
gene-LOC142983135,LOC142983135,SE,0.0,-0.166
gene-LOC142986391,LOC142986391,SE,0.015574199123788319,0.293
gene-Miple,Miple,A5SS,0.001668958072113383,0.534
gene-Sin3A,Sin3A,A5SS,0.006421484218203,0.149
gene-LOC142974966,LOC142974966,A5SS,0.000134503601868262,0.365
gene-gish,gish,A5SS,0.029182330257655882,0.191
gene-omd,omd,A5SS,0.0041962051462408004,-0.53
gene-LOC142974839,LOC142974839,A5SS,0.02672190439325,0.132
gene-M7BP,M7BP,A5SS,0.0010329203458915367,-0.192
gene-Hipk,Hipk,A5SS,0.03688996908204667,0.288
gene-Rbp1,Rbp1,A5SS,0.006421484218203,0.157
gene-LOC142987403,LOC142987403,A5SS,0.003222568954077629,0.131
gene-LOC142986343,LOC142986343,A5SS,0.0010329203458915367,-0.127
gene-Doa,Doa,A5SS,0.043689300300973684,0.133
gene-LOC142978093,LOC142978093,A5SS,0.00986598777474623,-0.256
gene-lark,lark,A5SS,0.001668958072113383,0.107
gene-LOC142986603,LOC142986603,A3SS,4.794740090219474e-06,0.321
gene-rngo,rngo,A3SS,0.012150835876859625,0.122
gene-LOC142980860,LOC142980860,A3SS,9.55065748027176e-06,0.667
gene-tho2,tho2,A3SS,0.00931021169072805,-0.157
gene-gish,gish,A3SS,0.005972305694285647,0.546
gene-Hrb27C,Hrb27C,A3SS,0.02545409532844125,-0.331
gene-LOC142982718,LOC142982718,A3SS,0.01188261284633918,-0.372
gene-LOC142972983,LOC142972983,A3SS,0.0001192174918875,-0.158
gene-LOC142974007,LOC142974007,A3SS,0.024717553005074513,-0.176
gene-Chd1,Chd1,A3SS,0.012907439646053192,0.131
gene-LOC142972987,LOC142972987,A3SS,0.01283330541066372,0.456
gene-CrebB,CrebB,A3SS,0.016714278203894036,-0.153
gene-LOC142980878,LOC142980878,A3SS,0.016498094737159002,-0.298
gene-LOC142976358,LOC142976358,A3SS,4.794740090219474e-06,-0.14
gene-LOC142977604,LOC142977604,A3SS,0.0374089760406225,-0.271
gene-AnnIX,AnnIX,A3SS,0.00011649640223890125,-0.106
gene-AnnIX,AnnIX,A3SS,8.819413073589344e-05,-0.111
gene-LOC142973709,LOC142973709,A3SS,0.007322832292621736,-0.175
gene-muc,muc,A3SS,0.0186918314956839,0.353
gene-Pcmt,Pcmt,A3SS,1.86047677264095e-10,0.203
gene-Pcmt,Pcmt,A3SS,1.86047677264095e-10,0.127
gene-LOC142981402,LOC142981402,A3SS,0.0374089760406225,0.131
gene-LOC142974749,LOC142974749,A3SS,0.006399924931974,0.156
gene-Usp7,Usp7,A3SS,0.0059437931984694,-0.154
gene-LOC142986127,LOC142986127,MXE,0.020404803173654444,0.346
gene-NUCB1,NUCB1,MXE,4.122550503885214e-05,0.158
gene-LOC142983967,LOC142983967,MXE,3.35111114644775e-06,-0.281
gene-LOC142975145,LOC142975145,MXE,0.0,-0.191
gene-LOC142979854,LOC142979854,MXE,6.110303633063333e-07,-0.137
gene-LOC142978728,LOC142978728,MXE,0.021242022731935713,-0.102
gene-LOC142972894,LOC142972894,MXE,2.298494727885e-12,0.112
gene-LOC142977343,LOC142977343,MXE,0.00223548614927115,-0.173
gene-Actn,Actn,MXE,4.657338419668286e-09,0.546
gene-Gata-beta,Gata-beta,MXE,3.35111114644775e-06,-0.241
gene-Gata-beta,Gata-beta,MXE,3.02828652987255e-08,-0.337
gene-rdx,rdx,MXE,0.04235766052418108,-0.137
gene-LOC142987209,LOC142987209,MXE,0.017463876492681923,-0.106
gene-cyc,cyc,MXE,0.008212436252601523,-0.2
gene-me31B,me31B,MXE,0.00427859910493309,0.191
gene-Tm1,Tm1,MXE,0.03699321808859828,0.262
gene-LOC142976358,LOC142976358,MXE,0.011854186038960839,-0.122
gene-LOC142981173,LOC142981173,MXE,2.8588242884068e-13,-0.25
gene-LOC142979846,LOC142979846,MXE,0.04235766052418108,-0.326
gene-LOC142986116,LOC142986116,RI,0.03510787809680667,0.194
gene-pnut,pnut,RI,1.24635302079e-10,0.145
gene-Xe7,Xe7,RI,0.0009260897410252799,0.122
