gene_id,gene_symbol,event_type,FDR,IncLevelDifference
gene-LOC142986242,LOC142986242,SE,0.004350688619349555,-0.165
gene-LOC142986116,LOC142986116,SE,0.00715979544381137,0.318
gene-LOC142985151,LOC142985151,SE,0.0013087025930426668,0.106
gene-Uvrag,Uvrag,SE,0.004350688619349555,-0.308
gene-CtBP,CtBP,SE,0.0003358436438065216,0.215
gene-shot,shot,SE,7.030308693221889e-08,0.169
gene-LOC142982002,LOC142982002,SE,0.007568414419640624,0.101
gene-LOC142982029,LOC142982029,SE,0.00030713591153810476,0.278
gene-Arp10,Arp10,SE,0.0035988299123711903,0.121
gene-LOC142981926,LOC142981926,SE,0.019125105152222807,0.242
gene-LOC142981926,LOC142981926,SE,0.0010780481152783334,0.375
gene-MICAL-like,MICAL-like,SE,0.00011446611913840556,0.396
gene-CanB,CanB,SE,0.0,0.671
gene-Syx17,Syx17,SE,0.0014803446375688451,0.105
gene-Rbpn-5,Rbpn-5,SE,0.0007419918278848333,0.182
gene-LOC142981692,LOC142981692,SE,0.002591231693661266,-0.219
gene-LOC142986912,LOC142986912,SE,2.674143794904621e-06,0.46
gene-Coprox,Coprox,SE,0.0020330437961174736,0.246
gene-LOC142976529,LOC142976529,SE,0.0,-0.344
gene-LOC142973349,LOC142973349,SE,0.0009543913804674376,-0.261
gene-LOC142972586,LOC142972586,SE,0.03475284294011888,-0.109
gene-LOC142972894,LOC142972894,SE,0.00028478230183987804,0.574
gene-tud,tud,SE,0.0014781064126206857,0.17
gene-Rbp6,Rbp6,SE,0.03029183063400895,-0.259
gene-Dgkepsilon,Dgkepsilon,SE,0.01923303775632991,-0.107
gene-Srrm1,Srrm1,SE,0.004326856287581818,-0.114
gene-Clic,Clic,SE,0.007060557701227234,0.164
gene-LOC142975422,LOC142975422,SE,0.0015395333612474521,0.113
gene-LOC142972892,LOC142972892,SE,0.00015465830597546841,-0.165
gene-scrib,scrib,SE,5.0626731748109696e-05,0.261
gene-LOC142987248,LOC142987248,SE,0.02550349030216589,-0.356
gene-Dp,Dp,SE,0.0026782735888747503,-0.48
gene-LOC142981853,LOC142981853,SE,1.0659461909093635e-07,0.24
gene-LOC142981853,LOC142981853,SE,9.954005397742e-08,0.257
gene-LOC142981853,LOC142981853,SE,0.022633814418868255,-0.161
gene-Lpin,Lpin,SE,1.359905838726857e-10,0.172
gene-LOC142974193,LOC142974193,SE,0.0,-0.336
gene-LOC142974193,LOC142974193,SE,0.0,-0.405
gene-scaf6,scaf6,SE,0.0008040603231055161,-0.422
gene-eEF1delta,eEF1delta,SE,4.026927505385e-05,-0.125
gene-LOC142987356,LOC142987356,SE,3.8389220513456136e-05,-0.133
gene-Oscillin,Oscillin,SE,9.95675419360381e-08,-0.121
gene-LOC142978194,LOC142978194,SE,0.009991110507284705,0.241
gene-LOC142972211,LOC142972211,SE,0.000761507246441082,-0.235
gene-LOC142972211,LOC142972211,SE,0.0003408176625491698,-0.269
gene-LOC142984072,LOC142984072,SE,0.0003462794341192143,-0.113
gene-LOC142980480,LOC142980480,SE,0.0,-0.764
gene-zip,zip,SE,0.03475284294011888,0.251
gene-dbo,dbo,SE,0.006829598315443656,-0.163
gene-Pgant5,Pgant5,SE,0.01923303775632991,0.104
gene-sicily,sicily,SE,0.000312243462924,-0.124
gene-l(1)G0469,l(1)G0469,SE,0.0005245476521944406,0.125
gene-LOC142985771,LOC142985771,SE,0.004320862798393333,0.139
gene-Stam,Stam,SE,0.01441889741559431,-0.367
gene-Hex-A,Hex-A,SE,0.03475284294011888,-0.108
gene-LOC142972219,LOC142972219,SE,0.0032499163700407227,-0.471
gene-LOC142975324,LOC142975324,SE,2.886433314584667e-10,0.25
gene-LOC142975204,LOC142975204,SE,0.007645545387177526,-0.168
gene-LOC142987403,LOC142987403,SE,0.04159401742499865,0.222
gene-NPFR,NPFR,SE,0.02075714818217851,-0.482
gene-Rtnl1,Rtnl1,SE,0.0003358436438065216,-0.101
gene-Rtnl1,Rtnl1,SE,8.695266728863e-13,0.316
gene-LOC142976162,LOC142976162,SE,0.005648825252505274,-0.1
gene-Tm1,Tm1,SE,0.0,-0.213
gene-Tm1,Tm1,SE,7.041426997029999e-08,0.35
gene-LOC142976358,LOC142976358,SE,0.00010416812334071429,-0.412
gene-LOC142975866,LOC142975866,SE,0.006540259271334565,-0.42
gene-LOC142977339,LOC142977339,SE,0.002522447570786154,-0.24
gene-LOC142978036,LOC142978036,SE,1.0729745198593044e-07,0.595
gene-Coq9,Coq9,SE,0.024339738349853125,-0.348
gene-LOC142979045,LOC142979045,SE,4.611126295604223e-13,-0.896
gene-LOC142973709,LOC142973709,SE,0.0003358436438065216,-0.213
gene-LOC142979080,LOC142979080,SE,4.053729317558e-07,-0.406
gene-LOC142986391,LOC142986391,SE,0.04726137972127867,0.251
gene-LOC142979648,LOC142979648,SE,0.0,0.562
gene-LOC142980134,LOC142980134,SE,0.02825074712324697,0.222
gene-LOC142983873,LOC142983873,A5SS,4.8870689495113004e-08,-0.457
gene-LOC142982174,LOC142982174,A5SS,0.004086833663829857,0.396
gene-MS,MS,A5SS,3.890048556756917e-06,-0.145
gene-Liprin-beta,Liprin-beta,A5SS,0.004086833663829857,0.187
gene-Mondo,Mondo,A5SS,2.011761167672425e-05,0.344
gene-LOC142974023,LOC142974023,A5SS,0.004086833663829857,0.279
gene-wds,wds,A5SS,0.0012694890455639727,0.383
gene-LOC142974410,LOC142974410,A5SS,0.0024614693505204998,-0.462
gene-SelR,SelR,A5SS,0.027518650512387503,-0.296
gene-Tnpo,Tnpo,A5SS,0.00432069795562326,-0.102
gene-LOC142981381,LOC142981381,A5SS,0.035442855079824996,0.208
gene-scrib,scrib,A5SS,6.704987567068999e-06,-0.208
gene-scrib,scrib,A5SS,6.9701564930886e-07,0.426
gene-LOC142979083,LOC142979083,A5SS,2.6983634993134997e-07,0.115
gene-M7BP,M7BP,A5SS,3.5890510553968198e-06,-0.185
gene-elgi,elgi,A5SS,0.027897410913640303,-0.194
gene-Naprt,Naprt,A5SS,0.00869568844239288,-0.124
gene-LOC142985771,LOC142985771,A5SS,0.035570874945699715,-0.103
gene-Hmg-2,Hmg-2,A5SS,0.04001412284126111,-0.157
gene-LOC142982314,LOC142982314,A5SS,0.00059654750015836,0.137
