gene_id,gene_symbol,event_type,FDR,IncLevelDifference
gene-Unr,Unr,SE,0.005604503297495849,0.125
gene-Gyf,Gyf,SE,0.0020668749244158974,-0.184
gene-LOC142985151,LOC142985151,SE,1.9604087761562165e-05,0.127
gene-hts,hts,SE,0.00019554072507888546,-0.186
gene-Gpat4,Gpat4,SE,0.00069522801431643,-0.135
gene-shot,shot,SE,0.001976597838704743,-0.222
gene-shot,shot,SE,1.226972902280818e-06,0.169
gene-LOC142982029,LOC142982029,SE,0.00031318118851263714,0.278
gene-Mapmodulin,Mapmodulin,SE,6.2753741203461e-08,0.125
gene-LOC142974487,LOC142974487,SE,0.011008907498080403,0.135
gene-LOC142973724,LOC142973724,SE,0.0009398475434679663,-0.231
gene-Drip,Drip,SE,3.09190645769094e-05,-0.168
gene-LOC142974966,LOC142974966,SE,3.1602565564459875e-09,0.275
gene-LOC142974966,LOC142974966,SE,1.9604087761562165e-05,0.101
gene-LOC142979651,LOC142979651,SE,1.2630546990914868e-07,-0.748
gene-LOC142981692,LOC142981692,SE,0.0015473522240824502,-0.399
gene-Coprox,Coprox,SE,0.0005299699506357359,0.25
gene-LOC142976529,LOC142976529,SE,0.0,-0.29
gene-gish,gish,SE,0.0017451919765311612,0.113
gene-LOC142980456,LOC142980456,SE,0.0009293360862896761,0.114
gene-LOC142972894,LOC142972894,SE,3.375973630247148e-07,-0.503
gene-LOC142972894,LOC142972894,SE,0.0006247604914569131,0.544
gene-tud,tud,SE,0.001180409398194338,0.17
gene-LOC142985080,LOC142985080,SE,1.1499891947797498e-13,-0.64
gene-LOC142978777,LOC142978777,SE,1.5755838156912103e-06,0.248
gene-Srrm1,Srrm1,SE,3.492873133589057e-10,-0.158
gene-dco,dco,SE,1.2630546990914868e-07,-0.327
gene-LOC142973990,LOC142973990,SE,0.018897919515283503,-0.139
gene-Tnpo,Tnpo,SE,0.001180409398194338,-0.47
gene-Esyt2,Esyt2,SE,2.045800885781925e-07,-0.166
gene-Synd,Synd,SE,0.035462726904094,0.203
gene-scrib,scrib,SE,1.1635253619442666e-06,-0.456
gene-LOC142987248,LOC142987248,SE,0.0005221356524154136,0.188
gene-LOC142972593,LOC142972593,SE,0.015081226140705213,-0.542
gene-Sam-S,Sam-S,SE,0.00020309381582682857,0.146
gene-LOC142981853,LOC142981853,SE,6.85258116917316e-10,0.247
gene-LOC142981853,LOC142981853,SE,7.82212428162835e-09,0.254
gene-Lpin,Lpin,SE,1.9604087761562165e-05,-0.119
gene-LOC142974193,LOC142974193,SE,0.0,-0.598
gene-LOC142974193,LOC142974193,SE,0.0,-0.723
gene-LOC142973964,LOC142973964,SE,6.457446139105589e-05,-0.132
gene-eEF1delta,eEF1delta,SE,0.00011292383601418075,-0.101
gene-Ugalt,Ugalt,SE,0.026855826636433464,-0.128
gene-LOC142983596,LOC142983596,SE,0.016532152942763077,-0.107
gene-LOC142987356,LOC142987356,SE,6.2753741203461e-08,-0.166
gene-LOC142976369,LOC142976369,SE,0.043951368576714375,-0.106
gene-Oscillin,Oscillin,SE,2.6032806679599e-10,-0.125
gene-dbf,dbf,SE,0.003291235316558521,0.325
gene-bel,bel,SE,1.0759854349586919e-05,0.282
gene-Sec23,Sec23,SE,0.02159760027764592,-0.25
gene-Pgant5,Pgant5,SE,0.016389440652271034,0.104
gene-LOC142972402,LOC142972402,SE,2.8101614107558784e-06,-0.354
gene-Usp16-45,Usp16-45,SE,4.333055245167548e-06,0.223
gene-cib,cib,SE,0.0,-0.112
gene-Stam,Stam,SE,0.010835495060408333,-0.171
gene-wupA,wupA,SE,1.9604087761562165e-05,0.129
gene-Rtnl1,Rtnl1,SE,0.002354218929475057,-0.118
gene-Rtnl1,Rtnl1,SE,0.0,0.373
gene-LOC142979957,LOC142979957,SE,0.00010435077264253848,-0.314
gene-Pif1A,Pif1A,SE,0.03927922543916022,-0.17
gene-Tm1,Tm1,SE,0.0,-0.264
gene-Tm1,Tm1,SE,0.0,0.648
gene-LOC142977339,LOC142977339,SE,0.00035748450350137745,-0.562
gene-Mf,Mf,SE,0.00723283464062347,-0.267
gene-Mf,Mf,SE,0.0004441514262722297,0.156
gene-puml,puml,SE,8.404467893006659e-06,-0.143
gene-puml,puml,SE,1.0463097324706962e-06,0.482
gene-LOC142979846,LOC142979846,SE,0.00843384348572772,-0.236
gene-LOC142972278,LOC142972278,SE,3.924081762172051e-05,0.277
gene-nuf,nuf,SE,0.04301397801405643,-0.18
gene-Art7,Art7,SE,0.04988067759517408,-0.198
gene-LOC142979080,LOC142979080,SE,4.576834915502694e-05,-0.291
gene-LOC142986391,LOC142986391,SE,0.0058127662901855046,0.246
gene-LOC142979648,LOC142979648,SE,0.0023162564665671725,0.247
gene-LOC142983873,LOC142983873,A5SS,0.00011641718072215002,-0.418
gene-AMPKalpha,AMPKalpha,A5SS,0.0302194159736,0.316
gene-smash,smash,A5SS,0.0012607370674779374,0.205
gene-LOC142974966,LOC142974966,A5SS,3.6637359812789995e-14,0.142
gene-LOC142976245,LOC142976245,A5SS,0.010675526805584347,0.148
gene-gish,gish,A5SS,0.006307764736211053,0.185
gene-LOC142977337,LOC142977337,A5SS,4.58309733747525e-06,-0.151
gene-Mondo,Mondo,A5SS,6.7694886363225e-08,0.344
gene-wds,wds,A5SS,0.001149784990629,0.383
