"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","ko04820","Cytoskeleton in muscle cells","17/151","70/3785",0.242857142857143,6.08751182592242,8.75682395275447,8.55241444724736e-10,2.10389395402285e-07,1.9715565936286e-07,"K12567/K05692/K17751/K12045/K12046/K10352/K12749/K09290/K10373/K10374/K09377/K10371/K12043/K12044/K06483/K06584/K06585",17
"Human Diseases","Cardiovascular disease","ko05410","Hypertrophic cardiomyopathy","12/151","44/3785",0.272727272727273,6.8362432269717,7.93665391849902,7.35787627935149e-08,9.05018782360233e-06,8.4809205535683e-06,"K12567/K05692/K17751/K12045/K12749/K09290/K10373/K10374/K12044/K06483/K06584/K06585",12
"Human Diseases","Cardiovascular disease","ko05414","Dilated cardiomyopathy","12/151","51/3785",0.235294117647059,5.89793533307363,7.17765457655983,4.3465331248655e-07,3.52160529937132e-05,3.30009225743397e-05,"K12567/K05692/K17751/K12045/K12749/K09290/K10373/K10374/K12044/K06483/K06584/K06585",12
"Cellular Processes","Cell motility","ko04814","Motor proteins","14/151","72/3785",0.194444444444444,4.87398822663723,6.76446799237095,5.72618747865254e-07,3.52160529937132e-05,3.30009225743397e-05,"K05692/K12757/K17751/K12045/K12046/K10352/K12749/K09290/K10373/K10374/K10371/K12043/K12044/K07375",14
"Organismal Systems","Circulatory system","ko04260","Cardiac muscle contraction","10/151","39/3785",0.256410256410256,6.42723722193921,6.94382549098435,1.78100763208392e-06,8.7625575498529e-05,8.21138255634482e-05,"K17751/K12045/K12749/K09290/K10373/K10374/K12044/K02266/K02263/K00417",10
"Genetic Information Processing","Translation","ko03010","Ribosome","18/151","154/3785",0.116883116883117,2.92981852584502,4.98350941646104,2.93555434981696e-05,0.00120357728342495,0.00112787088177178,"K02899/K02932/K02930/K02981/K02882/K02998/K14753/K02974/K02865/K02950/K02870/K02874/K17420/K02973/K02938/K02908/K02969/K17427",18
"Metabolism","Xenobiotics biodegradation and metabolism","ko00980","Metabolism of xenobiotics by cytochrome P450","5/151","11/3785",0.454545454545455,11.3937387116195,7.03620955954198,3.59916667366935e-05,0.00126485000246094,0.00118528947599036,"K00799/K00699/K01253/K00121/K13980",5
"Metabolism","Xenobiotics biodegradation and metabolism","ko00983","Drug metabolism","6/151","23/3785",0.260869565217391,6.53901526058163,5.43073560992499,0.000209759514759158,0.00645010507884411,0.00604438601740206,"K00799/K01044/K00699/K01431/K00940/K03927",6
"Human Diseases","Infectious disease: viral","ko05171","Coronavirus disease","13/151","112/3785",0.116071428571429,2.90947256385998,4.18103252298095,0.000429233034444045,0.0117323696081372,0.010994390005058,"K02932/K02930/K02981/K02882/K17834/K02998/K02974/K02865/K02870/K02973/K02938/K02908/K02969",13
"Metabolism","Xenobiotics biodegradation and metabolism","ko00982","Drug metabolism","4/151","11/3785",0.363636363636364,9.11499096929561,5.49357441224898,0.000645255340342006,0.0158732813724133,0.0148748336352526,"K00799/K00699/K00121/K13980",4
"Human Diseases","Infectious disease: bacterial","ko05134","Legionellosis","5/151","24/3785",0.208333333333333,5.22213024282561,4.22918960733233,0.00217277566308325,0.0485911648289528,0.0455347244225103,"K02187/K04398/K03231/K03233/K03283",5
