"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","ko03010","Ribosome","140/1995","154/3785",0.909090909090909,1.72476646160857,9.69316984592274,1.43302969328676e-25,4.90096155104071e-23,4.75162477247714e-23,"K17430/K02941/K02973/K02876/K02963/K02949/K17421/K02873/K17402/K02878/K17427/K02881/K02923/K02990/K17432/K02908/K02940/K17403/K02914/K17428/K17413/K02977/K02943/K02957/K02996/K02896/K02871/K02899/K02962/K17411/K02992/K02898/K02961/K02932/K02907/K02874/K02929/K02922/K02892/K02950/K02905/K02964/K02886/K17433/K02935/K02875/K02910/K17412/K02918/K02947/K17420/K02911/K02954/K02888/K02967/K02974/K02993/K02978/K17436/K02913/K02970/K02921/K02951/K02948/K17418/K02981/K17422/K02864/K16174/K17410/K17414/K02863/K17406/K02915/K02942/K02906/K17423/K02979/K02870/K02884/K02885/K02891/K02983/K02916/K02956/K17429/K17424/K02995/K02879/K16830/K02939/K02894/K02946/K02938/K02958/K17426/K02900/K02901/K02890/K17425/K17407/K02971/K02988/K17434/K02980/K02867/K02926/K02927/K17419/K15033/K17431/K02872/K02887/K17404/K02975/K17408/K02895/K17409/K17435/K02959/K02903/K02987/K02877/K02997/K02984/K02868/K17401/K17405/K02912/K02866/K02960/K02889/K17439/K02934/K02985/K02937/K02955/K02969/K02902/K02998",140
"Metabolism","Energy metabolism","ko00190","Oxidative phosphorylation","73/1995","90/3785",0.811111111111111,1.53887496519075,5.4616333222601,1.29117974885455e-08,2.20791737054128e-06,2.14064010994307e-06,"K11352/K11351/K03939/K03950/K03964/K03963/K03955/K11353/K03959/K00419/K03940/K02135/K02130/K03960/K03938/K02266/K02129/K00236/K02140/K03945/K02272/K03952/K03948/K03962/K00418/K02268/K03953/K00416/K03968/K03956/K03949/K02137/K02131/K02153/K02152/K02264/K03958/K03966/K03946/K03961/K02258/K03941/K02151/K00420/K02138/K03957/K03965/K00413/K03943/K03936/K03954/K02127/K02265/K02149/K08738/K00417/K02134/K03937/K02146/K03661/K03879/K00237/K00234/K02148/K03951/K02260/K02150/K02259/K02136/K02132/K00415/K02128/K03935",73
"Organismal Systems","Environmental adaptation","ko04714","Thermogenesis","111/1995","149/3785",0.74496644295302,1.41338244941212,5.43442662792763,2.16022482861195e-08,2.46265630461762e-06,2.38761691583426e-06,"K11649/K15601/K11352/K18160/K11351/K03939/K03950/K12323/K03964/K03963/K03955/K11353/K03959/K00419/K07203/K03940/K02135/K02130/K03960/K03938/K11650/K02266/K02129/K00236/K02140/K18164/K03945/K02272/K07207/K03952/K03948/K03962/K00418/K02268/K03953/K00416/K03968/K03956/K03949/K02137/K02131/K18161/K18183/K18178/K02264/K03958/K03966/K03946/K11416/K03961/K02258/K03941/K11653/K00420/K02138/K04362/K03957/K11651/K07206/K18184/K03965/K00413/K03943/K03936/K03954/K02127/K18179/K02265/K00417/K02134/K03937/K07204/K18175/K18182/K01897/K04426/K15109/K07188/K09048/K03879/K00237/K18180/K07376/K00234/K18177/K07827/K07828/K03951/K03099/K18159/K04450/K09047/K18163/K07200/K02260/K02259/K11647/K02136/K08049/K04432/K02132/K16622/K00415/K07198/K05692/K02128/K03935/K08041/K08043/K08045/K08048",111
"Human Diseases","Cancer: overview","ko05208","Chemical carcinogenesis","94/1995","127/3785",0.740157480314961,1.40425867819154,4.89170051061518,4.56777289459616e-07,3.90544582487971e-05,3.7864433205205e-05,"K04456/K11352/K11351/K03939/K03950/K03964/K03963/K03955/K14394/K11353/K03959/K00419/K03940/K02135/K03960/K03938/K02266/K04431/K09565/K00236/K03945/K00799/K02272/K03952/K03948/K03962/K04361/K00418/K02268/K01253/K03953/K00416/K03968/K03956/K03949/K02137/K02131/K04564/K02264/K03958/K03966/K03946/K03961/K06619/K08887/K04565/K03941/K00420/K02138/K03957/K05725/K03965/K09097/K00413/K03943/K03936/K03954/K05862/K15040/K15041/K00002/K02127/K02265/K00417/K00079/K02134/K03937/K09408/K10456/K04426/K01115/K03879/K00237/K05863/K00234/K07827/K07828/K03951/K03099/K05704/K04448/K02136/K04392/K01110/K04734/K06276/K02132/K04365/K04366/K08845/K02580/K00415/K02128/K03935",94
"Human Diseases","Endocrine and metabolic disease","ko04932","Non-alcoholic fatty liver disease","69/1995","93/3785",0.741935483870968,1.40763198318377,4.20145172959017,1.40645344532555e-05,0.000962014156602676,0.00093270070584747,"K04456/K11352/K11351/K03939/K03950/K03964/K03963/K03955/K11353/K03959/K00419/K03940/K03960/K03938/K02266/K00236/K03945/K02272/K03952/K03948/K03962/K00418/K02268/K03953/K00416/K03968/K03956/K03949/K02264/K03958/K03966/K03946/K03961/K03941/K00420/K03957/K04374/K03965/K04696/K00413/K03943/K03936/K08524/K03954/K09113/K02265/K08738/K00417/K08536/K03937/K07197/K04426/K05632/K00237/K09055/K04527/K02187/K04397/K04419/K00234/K03951/K04448/K07200/K04392/K08860/K02580/K00415/K07198/K03935",69
"Human Diseases","Neurodegenerative disease","ko05012","Parkinson disease","116/1995","170/3785",0.682352941176471,1.29458941471325,4.14866097234797,1.88231689515887e-05,0.00107292063024056,0.00104022775785095,"K11352/K11351/K03939/K03950/K03178/K10698/K03964/K03963/K03955/K11353/K03959/K00419/K03940/K02135/K03960/K03938/K02266/K09565/K00236/K03945/K05688/K02272/K03952/K03948/K03962/K03028/K00418/K02268/K02977/K03953/K03671/K00416/K03968/K03956/K03949/K02137/K02131/K02264/K03958/K05687/K03966/K03946/K03961/K04565/K14713/K03941/K00420/K02138/K03957/K04374/K02734/K14719/K03965/K03032/K00413/K03943/K03936/K03954/K04552/K05862/K15040/K15041/K02127/K02265/K08738/K00417/K02134/K03937/K10456/K08770/K07375/K04426/K02084/K02183/K02927/K10881/K14711/K14716/K01116/K03879/K00237/K10575/K03039/K02731/K05863/K08155/K03061/K02728/K02187/K02729/K02735/K10578/K00234/K08669/K04555/K14709/K10407/K03951/K03029/K04380/K02732/K02736/K02136/K10396/K04554/K02727/K08860/K09488/K00274/K02739/K02132/K00415/K09490/K02128/K03935/K08045",116
"Human Diseases","Infectious disease: viral","ko05171","Coronavirus disease","79/1995","112/3785",0.705357142857143,1.33823397780165,3.83562621948176,7.26988258598709e-05,0.00355185692058226,0.0034436285933623,"K02941/K02973/K02949/K04427/K02873/K02923/K02908/K02940/K04361/K02977/K02943/K02957/K02896/K02962/K02898/K02932/K02929/K02922/K02905/K02964/K02875/K02910/K02918/K02947/K02974/K02993/K02978/K02921/K02951/K02981/K03917/K02915/K02942/K02979/K02870/K02885/K02891/K02983/K02995/K02894/K12654/K02938/K02958/K02900/K02901/K02971/K02980/K02927/K01116/K05859/K02872/K02975/K03174/K02903/K02987/K02877/K04404/K02997/K02984/K02868/K04729/K04448/K02912/K02866/K02960/K02889/K02934/K02985/K06059/K03992/K03993/K02937/K04734/K02955/K02580/K02969/K04730/K02998/K11217",79
"Genetic Information Processing","Transcription","ko03040","Spliceosome","81/1995","117/3785",0.692307692307692,1.31347599768652,3.63582573244992,0.00016500619605047,0.00705401488115761,0.00683907259946029,"K12838/K13095/K12825/K12874/K11099/K12877/K12831/K12883/K12856/K11096/K12815/K03283/K12824/K12822/K12828/K12890/K12621/K12823/K12833/K12623/K09564/K12854/K12625/K12866/K12842/K12622/K12889/K12624/K12627/K12886/K11984/K12741/K13175/K12862/K12871/K11087/K12812/K13025/K12844/K12818/K12870/K12626/K12843/K12872/K12865/K12864/K11093/K12876/K11086/K12893/K13098/K12837/K12855/K13101/K12816/K12820/K12859/K12832/K11092/K11098/K12879/K12873/K12860/K14323/K12881/K13176/K06063/K13108/K12849/K12857/K12852/K12878/K13107/K12830/K12733/K12834/K12847/K12867/K12840/K12882/K09567",81
"Metabolism","Lipid metabolism","ko00140","Steroid hormone biosynthesis","12/1995","12/3785",1,1.89724310776942,3.28607786314619,0.000452594689921774,0.0171985982170274,0.0166745412076443,"K00699/K01016/K12345/K00038/K13370/K07424/K17689/K17690/K17691/K07414/K00070/K10251",12
"Human Diseases","Neurodegenerative disease","ko05016","Huntington disease","124/1995","193/3785",0.642487046632124,1.21895412105393,3.29597654577339,0.000584972487329783,0.0200060590666786,0.0193964561588296,"K03006/K11352/K11351/K03939/K03950/K04498/K11644/K03964/K03963/K03955/K11353/K03959/K00419/K07203/K03940/K02135/K03960/K08333/K03938/K02266/K10427/K04431/K09565/K00236/K03945/K02272/K03952/K03948/K03962/K03028/K00418/K02268/K17908/K03953/K00416/K03968/K03015/K03956/K03949/K02137/K02131/K11824/K04646/K04564/K08269/K21357/K03009/K02264/K03958/K03966/K03946/K03961/K03011/K04565/K03941/K00914/K00420/K02138/K03957/K02734/K03965/K03032/K00413/K03943/K03936/K03954/K05862/K15040/K15041/K02127/K02265/K00432/K08738/K03008/K00417/K10428/K02134/K03937/K11830/K03016/K17906/K07375/K04426/K02084/K17589/K10881/K11825/K09048/K03879/K00237/K03039/K02731/K05863/K17985/K03061/K02728/K02187/K03017/K02729/K04418/K02735/K00234/K03014/K04644/K04645/K10407/K03951/K03029/K09047/K02732/K05858/K02736/K02136/K03012/K10396/K02727/K03120/K03010/K02739/K02132/K16576/K00415/K02128/K03935",124
