pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF24161.2,9,4,36.886055776892434,2.437684529447755e-05,0.010018883416030272
PF11465.15,5,3,68.9047619047619,9.579397287746038e-05,0.013123774284212072
PF28321.1,5,3,68.9047619047619,9.579397287746038e-05,0.013123774284212072
PF00210.31,2,2,inf,0.0004626162368828263,0.0237669091698552
PF01849.24,2,2,inf,0.0004626162368828263,0.0237669091698552
PF00261.26,2,2,inf,0.0004626162368828263,0.0237669091698552
PF00164.32,2,2,inf,0.0004626162368828263,0.0237669091698552
PF00992.26,2,2,inf,0.0004626162368828263,0.0237669091698552
PF01576.25,3,2,91.51778656126483,0.0013680630783382166,0.0562273925197007
PF17180.11,3,2,91.51778656126483,0.0013680630783382166,0.0562273925197007
PF00022.26,12,3,15.302910052910052,0.0018838776364452315,0.07038851896172638
PF00458.26,4,2,45.75494071146245,0.0026971870956918587,0.0852726074099503
PF19220.7,4,2,45.75494071146245,0.0026971870956918587,0.0852726074099503
PF13499.13,66,5,3.776065573770492,0.013732006774276146,0.11653960600817519
PF14374.12,1,1,inf,0.02154990281416378,0.11653960600817519
PF25833.1,1,1,inf,0.02154990281416378,0.11653960600817519
PF12640.13,1,1,inf,0.02154990281416378,0.11653960600817519
PF03657.20,1,1,inf,0.02154990281416378,0.11653960600817519
PF05224.18,1,1,inf,0.02154990281416378,0.11653960600817519
PF01016.25,1,1,inf,0.02154990281416378,0.11653960600817519
PF25305.2,19,3,8.602678571428571,0.007423487786477008,0.11653960600817519
PF04573.18,1,1,inf,0.02154990281416378,0.11653960600817519
PF15228.12,1,1,inf,0.02154990281416378,0.11653960600817519
PF25281.1,1,1,inf,0.02154990281416378,0.11653960600817519
PF15929.11,1,1,inf,0.02154990281416378,0.11653960600817519
PF23725.2,1,1,inf,0.02154990281416378,0.11653960600817519
PF00587.31,7,2,18.297233201581026,0.009044198653861,0.11653960600817519
PF16655.13,1,1,inf,0.02154990281416378,0.11653960600817519
PF17877.8,1,1,inf,0.02154990281416378,0.11653960600817519
PF01966.29,1,1,inf,0.02154990281416378,0.11653960600817519
PF11968.15,1,1,inf,0.02154990281416378,0.11653960600817519
PF11788.15,1,1,inf,0.02154990281416378,0.11653960600817519
PF13884.12,1,1,inf,0.02154990281416378,0.11653960600817519
PF03535.19,1,1,inf,0.02154990281416378,0.11653960600817519
PF21605.4,1,1,inf,0.02154990281416378,0.11653960600817519
PF16533.11,1,1,inf,0.02154990281416378,0.11653960600817519
PF12548.14,1,1,inf,0.02154990281416378,0.11653960600817519
PF19303.6,1,1,inf,0.02154990281416378,0.11653960600817519
PF25059.2,25,3,6.253246753246753,0.01602761849661088,0.11653960600817519
PF08412.16,1,1,inf,0.02154990281416378,0.11653960600817519
PF17833.8,1,1,inf,0.02154990281416378,0.11653960600817519
PF02403.28,1,1,inf,0.02154990281416378,0.11653960600817519
