pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF01423.29,18,15,9.238370691732948,3.8188233732208915e-05,0.07066140142409615
PF02985.29,33,23,4.253972470417773,5.5873538290007496e-05,0.07066140142409615
PF00240.30,25,19,5.854322476879775,3.682423216646874e-05,0.07066140142409615
PF12755.14,8,8,inf,0.0002341168328285366,0.17764785275029357
PF11976.15,11,10,18.459316321617717,0.00021646765274139793,0.17764785275029357
PF23227.2,13,11,10.153744281242476,0.000364796302397019,0.2306728618823817
PF00069.32,197,92,1.6275797548882027,0.0005188834912114446,0.281234852236603
PF07714.24,193,90,1.622746185852982,0.000629293761537825,0.2984425664093135
PF13513.13,25,17,3.9256390161562575,0.0008405743649956203,0.354348793421487
PF02826.26,9,8,14.760346487006737,0.001448792175551275,0.49970159218559435
PF00627.38,9,8,14.760346487006737,0.001448792175551275,0.49970159218559435
PF09734.16,1,1,inf,0.35189723654187444,0.5111401667074547
PF08389.19,5,4,7.373076923076923,0.05504903212955071,0.5111401667074547
PF09415.17,1,1,inf,0.35189723654187444,0.5111401667074547
PF21335.3,1,1,inf,0.35189723654187444,0.5111401667074547
PF04923.18,1,1,inf,0.35189723654187444,0.5111401667074547
PF25045.2,1,1,inf,0.35189723654187444,0.5111401667074547
PF13634.12,1,1,inf,0.35189723654187444,0.5111401667074547
PF05378.20,1,1,inf,0.35189723654187444,0.5111401667074547
PF20723.4,1,1,inf,0.35189723654187444,0.5111401667074547
PF07726.18,1,1,inf,0.35189723654187444,0.5111401667074547
PF00013.36,17,9,2.0742779783393503,0.10222678783603376,0.5111401667074547
PF05742.18,1,1,inf,0.35189723654187444,0.5111401667074547
PF17054.10,2,2,inf,0.12381238976705741,0.5111401667074547
PF09494.17,1,1,inf,0.35189723654187444,0.5111401667074547
PF05849.19,1,1,inf,0.35189723654187444,0.5111401667074547
PF02033.24,1,1,inf,0.35189723654187444,0.5111401667074547
PF04997.18,3,2,3.684766938971648,0.2843258234790958,0.5111401667074547
PF00829.27,2,2,inf,0.12381238976705741,0.5111401667074547
PF23261.2,1,1,inf,0.35189723654187444,0.5111401667074547
PF02376.22,1,1,inf,0.35189723654187444,0.5111401667074547
PF06268.20,1,1,inf,0.35189723654187444,0.5111401667074547
PF22603.3,1,1,inf,0.35189723654187444,0.5111401667074547
PF10176.15,1,1,inf,0.35189723654187444,0.5111401667074547
PF04699.20,1,1,inf,0.35189723654187444,0.5111401667074547
PF02636.24,1,1,inf,0.35189723654187444,0.5111401667074547
PF05615.19,1,1,inf,0.35189723654187444,0.5111401667074547
PF12850.13,1,1,inf,0.35189723654187444,0.5111401667074547
