pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF02985.29,33,25,6.186868686868687,9.025065724979128e-07,0.0034304274820645664
PF07714.24,193,95,1.9312995120927547,5.001591153841997e-06,0.00633701599191781
PF00069.32,197,97,1.933014403292181,3.922932473847816e-06,0.00633701599191781
PF01423.29,18,15,9.880352644836272,2.1005815805492746e-05,0.012307967932204964
PF25757.2,10,10,inf,1.86242390695205e-05,0.012307967932204964
PF20168.5,10,10,inf,1.86242390695205e-05,0.012307967932204964
PF13646.13,29,21,5.191725529767911,2.2666607609953894e-05,0.012307967932204964
PF00628.36,24,18,5.93042601462062,4.1327982768415556e-05,0.0174541847225275
PF00443.36,24,18,5.93042601462062,4.1327982768415556e-05,0.0174541847225275
PF24987.2,12,11,21.72043281328636,5.198611104667435e-05,0.018115132233715834
PF00439.31,17,14,9.219340216570133,5.24247446911008e-05,0.018115132233715834
PF13513.13,25,18,5.082574093413519,0.00010103355304150867,0.03200237792589787
PF12755.14,8,8,inf,0.00016468048659150472,0.048150040733408415
PF13423.13,20,15,5.9267002518891685,0.00018841823838841845,0.0511555517224556
PF23227.2,13,11,10.85883241066935,0.00023410265136891714,0.0593216118568836
PF00271.38,80,42,2.189222739832081,0.0003870014180003996,0.08652896410703051
PF07647.25,17,13,6.418177240684794,0.00037955496196028643,0.08652896410703051
PF13771.13,7,7,inf,0.000489570496337641,0.09793986613575649
PF00307.37,25,17,4.198588709677419,0.00046972635838371746,0.09793986613575649
PF00536.38,20,14,4.607907328128935,0.000977742293617657,0.16970129912552157
PF00043.31,22,15,4.232277797768981,0.000982222725798862,0.16970129912552157
PF12717.14,20,14,4.607907328128935,0.000977742293617657,0.16970129912552157
PF25780.2,9,8,15.784762383706312,0.001039039866731973,0.17171263188905345
PF00076.29,110,53,1.8423863575520694,0.0010983650664397433,0.17395356739739434
PF06602.20,6,6,inf,0.001455177245585644,0.18216940010511481
PF24492.2,6,6,inf,0.001455177245585644,0.18216940010511481
PF24714.2,11,9,8.88003018108652,0.0014841800822743808,0.18216940010511481
PF05347.22,6,6,inf,0.001455177245585644,0.18216940010511481
PF00467.36,6,6,inf,0.001455177245585644,0.18216940010511481
PF00017.31,31,19,3.1283408976298537,0.001485727809328745,0.18216940010511481
PF11976.15,11,9,8.88003018108652,0.0014841800822743808,0.18216940010511481
PF13417.13,29,18,3.2327153562343884,0.0016087756089292287,0.18530169968303023
PF08246.18,29,18,3.2327153562343884,0.0016087756089292287,0.18530169968303023
PF00454.34,13,10,6.578616352201258,0.001791798490344861,0.20031253122943576
PF00240.30,25,16,3.511211892164273,0.0018453702960117115,0.20040721414687185
PF01602.27,17,12,4.737780015101938,0.0020587959644960737,0.2016096416721728
PF12678.14,17,12,4.737780015101938,0.0020587959644960737,0.2016096416721728
PF23271.2,19,13,4.277693856998993,0.0020686072152630197,0.2016096416721728
PF14497.12,21,14,3.9491312012087634,0.0020257198168730016,0.2016096416721728
PF01145.32,8,7,13.808195072900956,0.0027638005645605943,0.2501239510927338
PF00435.28,8,7,13.808195072900956,0.0027638005645605943,0.2501239510927338
PF00569.24,8,7,13.808195072900956,0.0027638005645605943,0.2501239510927338
PF00620.33,24,15,3.290931989924433,0.003583796142188572,0.3167909101502038
PF04851.22,49,26,2.2343147698694223,0.0039610265977675675,0.3421786840480574
PF24681.2,18,12,3.94764661464888,0.004288025345485946,0.3424528391302941
PF24981.2,18,12,3.94764661464888,0.004288025345485946,0.3424528391302941
PF02466.25,5,5,inf,0.004324582025323367,0.3424528391302941
PF13415.13,18,12,3.94764661464888,0.004288025345485946,0.3424528391302941
PF02798.27,29,17,2.797631048387097,0.005045846728641087,0.3914135390931586
PF00270.36,69,34,1.9209747984235457,0.005180054184836946,0.3937877191313046
PF27916.1,1,1,inf,0.3367700498605595,0.4892970851422977
PF23745.2,11,5,1.6419597989949748,0.29757777559136317,0.4892970851422977
PF20744.4,1,1,inf,0.3367700498605595,0.4892970851422977
PF22972.4,2,2,inf,0.11339518920254132,0.4892970851422977
PF05255.17,1,1,inf,0.3367700498605595,0.4892970851422977
PF03849.20,1,1,inf,0.3367700498605595,0.4892970851422977
PF01849.24,2,2,inf,0.11339518920254132,0.4892970851422977
PF14663.12,1,1,inf,0.3367700498605595,0.4892970851422977
PF05251.18,1,1,inf,0.3367700498605595,0.4892970851422977
PF06462.19,1,1,inf,0.3367700498605595,0.4892970851422977
PF07502.21,1,1,inf,0.3367700498605595,0.4892970851422977
PF25068.3,3,2,3.9402460456942006,0.26383478769151847,0.4892970851422977
PF18016.9,2,2,inf,0.11339518920254132,0.4892970851422977
PF16088.11,1,1,inf,0.3367700498605595,0.4892970851422977
PF04046.22,1,1,inf,0.3367700498605595,0.4892970851422977
PF25249.1,1,1,inf,0.3367700498605595,0.4892970851422977
PF01571.27,4,3,5.911853340030135,0.11415183807068115,0.4892970851422977
PF03575.24,1,1,inf,0.3367700498605595,0.4892970851422977
PF26285.1,2,2,inf,0.11339518920254132,0.4892970851422977
PF18401.8,1,1,inf,0.3367700498605595,0.4892970851422977
PF01557.24,3,2,3.9402460456942006,0.26383478769151847,0.4892970851422977
PF03378.22,1,1,inf,0.3367700498605595,0.4892970851422977
PF25408.2,1,1,inf,0.3367700498605595,0.4892970851422977
PF11496.15,7,4,2.6274805325295154,0.1785528610215944,0.4892970851422977
PF21358.3,1,1,inf,0.3367700498605595,0.4892970851422977
PF17405.9,1,1,inf,0.3367700498605595,0.4892970851422977
PF08606.17,1,1,inf,0.3367700498605595,0.4892970851422977
PF12872.14,3,3,inf,0.03817538995805274,0.4892970851422977
PF13180.13,25,10,1.3137106918238994,0.31738376518465616,0.4892970851422977
PF15114.12,1,1,inf,0.3367700498605595,0.4892970851422977
PF03463.21,1,1,inf,0.3367700498605595,0.4892970851422977
PF25574.2,5,3,2.9555499748869916,0.21495278292481843,0.4892970851422977
PF00728.29,7,4,2.6274805325295154,0.1785528610215944,0.4892970851422977
PF02207.26,5,4,7.884451142928913,0.046951208167922955,0.4892970851422977
PF20206.5,1,1,inf,0.3367700498605595,0.4892970851422977
PF08659.17,84,39,1.7137861125190066,0.010113641029899501,0.4892970851422977
PF25561.2,1,1,inf,0.3367700498605595,0.4892970851422977
