pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF02985.29,33,25,6.186868686868687,9.025065724979128e-07,0.0034304274820645664
PF07714.24,193,95,1.9312995120927547,5.001591153841997e-06,0.00633701599191781
PF00069.32,197,97,1.933014403292181,3.922932473847816e-06,0.00633701599191781
PF01423.29,18,15,9.880352644836272,2.1005815805492746e-05,0.012307967932204964
PF25757.2,10,10,inf,1.86242390695205e-05,0.012307967932204964
PF20168.5,10,10,inf,1.86242390695205e-05,0.012307967932204964
PF13646.13,29,21,5.191725529767911,2.2666607609953894e-05,0.012307967932204964
PF00628.36,24,18,5.93042601462062,4.1327982768415556e-05,0.0174541847225275
PF00443.36,24,18,5.93042601462062,4.1327982768415556e-05,0.0174541847225275
PF24987.2,12,11,21.72043281328636,5.198611104667435e-05,0.018115132233715834
PF00439.31,17,14,9.219340216570133,5.24247446911008e-05,0.018115132233715834
PF13513.13,25,18,5.082574093413519,0.00010103355304150867,0.03200237792589787
PF12755.14,8,8,inf,0.00016468048659150472,0.048150040733408415
