"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Benzamidine","GO:0005198","structural molecule activity","36/205","390/9658",0.0923076923076923,4.34881801125704,9.94132003588418,4.66264707320536e-14,1.54240365181633e-10,1.48812062378512e-10,"gene-bent/gene-A1/gene-LOC142986440/gene-mRpL27/gene-RpL5/gene-TpnT/gene-Mhc/gene-RpL4/gene-RpS2/gene-Tm2/gene-RpL18A/gene-Ih/gene-LOC142974453/gene-LOC142977753/gene-sta/gene-Rack1/gene-RpS24/gene-RpL10Ab/gene-mRpS12/gene-LOC142981253/gene-LOC142982930/gene-RpL12/gene-mRpL14/gene-LOC142979051/gene-LOC142974688/gene-mRpL39/gene-LOC142987482/gene-LOC142986780/gene-RpS23/gene-RpL8/gene-RpL30/gene-LOC142974687/gene-RpS20/gene-Pax/gene-mRpL46/gene-Nup44A",36
"Benzamidine","GO:0006518","peptide metabolic process","32/205","397/9658",0.0806045340050378,3.79745653375929,8.38190773269737,5.33239771528787e-11,8.81978582108614e-08,8.50938414355412e-08,"gene-LOC142973394/gene-SerRS/gene-eIF3l/gene-GSTd2/gene-mRpL27/gene-RpL5/gene-Nacalpha/gene-MetRS/gene-RpL4/gene-RpS2/gene-RpL18A/gene-LOC142973763/gene-LOC142981347/gene-eEF1gamma/gene-GSTd3/gene-sta/gene-Rack1/gene-RpS24/gene-LOC142975624/gene-RpL10Ab/gene-mRpS12/gene-GlyRS/gene-RpL12/gene-mRpL14/gene-mRpL39/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20/gene-mRpL46/gene-Spase22-23/gene-mIF2",32
"Benzamidine","GO:0043043","peptide biosynthetic process","28/205","320/9658",0.0875,4.12231707317073,8.36446706511048,1.46388934501318e-10,1.61418198443453e-07,1.55737280494033e-07,"gene-LOC142973394/gene-SerRS/gene-eIF3l/gene-mRpL27/gene-RpL5/gene-Nacalpha/gene-MetRS/gene-RpL4/gene-RpS2/gene-RpL18A/gene-LOC142981347/gene-eEF1gamma/gene-sta/gene-Rack1/gene-RpS24/gene-LOC142975624/gene-RpL10Ab/gene-mRpS12/gene-GlyRS/gene-RpL12/gene-mRpL14/gene-mRpL39/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20/gene-mRpL46/gene-mIF2",28
"Benzamidine","GO:0006412","translation","27/205","315/9658",0.0857142857142857,4.0381881533101,8.07309356242248,5.11862283538839e-10,4.2331010848662e-07,4.08412222023621e-07,"gene-LOC142973394/gene-SerRS/gene-eIF3l/gene-mRpL27/gene-RpL5/gene-Nacalpha/gene-MetRS/gene-RpL4/gene-RpS2/gene-RpL18A/gene-LOC142981347/gene-eEF1gamma/gene-sta/gene-Rack1/gene-RpS24/gene-RpL10Ab/gene-mRpS12/gene-GlyRS/gene-RpL12/gene-mRpL14/gene-mRpL39/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20/gene-mRpL46/gene-mIF2",27
"Benzamidine","GO:0043604","amide biosynthetic process","29/205","399/9658",0.0726817042606516,3.42419463292377,7.28257739010815,5.21296306096425e-09,3.44889636113395e-06,3.32751663175655e-06,"gene-LOC142973394/gene-SerRS/gene-eIF3l/gene-mRpL27/gene-RpL5/gene-Nacalpha/gene-MetRS/gene-RpL4/gene-RpS2/gene-LOC142973055/gene-RpL18A/gene-LOC142981347/gene-eEF1gamma/gene-sta/gene-Rack1/gene-RpS24/gene-LOC142975624/gene-RpL10Ab/gene-mRpS12/gene-GlyRS/gene-RpL12/gene-mRpL14/gene-mRpL39/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20/gene-mRpL46/gene-mIF2",29
"Benzamidine","GO:0044391","ribosomal subunit","18/205","162/9658",0.111111111111111,5.23468834688347,8.00427176132025,8.55885198467106e-09,4.71878039421531e-06,4.5527086346531e-06,"gene-mRpL27/gene-RpL5/gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-Rack1/gene-RpS24/gene-RpL10Ab/gene-mRpS12/gene-RpL12/gene-mRpL14/gene-mRpL39/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20/gene-mRpL46",18
"Benzamidine","GO:0003735","structural constituent of ribosome","17/205","160/9658",0.10625,5.00567073170732,7.52371564366814,4.42471473022619e-08,2.09099376108403e-05,2.01740376872869e-05,"gene-mRpL27/gene-RpL5/gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-RpS24/gene-RpL10Ab/gene-mRpS12/gene-RpL12/gene-mRpL14/gene-mRpL39/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20/gene-mRpL46",17
"Benzamidine","GO:0015629","actin cytoskeleton","19/205","205/9658",0.0926829268292683,4.36649613325402,7.17436452015506,6.42745219379644e-08,2.65775148213483e-05,2.56421513836721e-05,"gene-bent/gene-A1/gene-LOC142986440/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-Mlc1/gene-Tm2/gene-Mp20/gene-LOC142985541/gene-LOC142981347/gene-LOC142974453/gene-LOC142977753/gene-wupA/gene-LOC142974688/gene-LOC142974687/gene-Pax/gene-LOC142983813",19
"Benzamidine","GO:0099512","supramolecular fiber","25/205","348/9658",0.0718390804597701,3.38449677600224,6.67151917113025,8.24855599067632e-08,2.77287103861293e-05,2.67528320151289e-05,"gene-bent/gene-A1/gene-LOC142986440/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-RpL4/gene-Mlc1/gene-Tm2/gene-LOC142985541/gene-Obsc/gene-LOC142974453/gene-wupA/gene-LOC142978752/gene-LOC142982930/gene-awd/gene-LOC142979051/gene-LOC142974688/gene-LOC142987482/gene-Mf/gene-LOC142974687/gene-Pax/gene-LOC142983813/gene-sgg",25
"Benzamidine","GO:0005840","ribosome","18/205","188/9658",0.0957446808510638,4.51074208614427,7.15840190439758,8.83377172975294e-08,2.77287103861293e-05,2.67528320151289e-05,"gene-mRpL27/gene-RpL5/gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-Rack1/gene-RpS24/gene-RpL10Ab/gene-mRpS12/gene-RpL12/gene-mRpL14/gene-mRpL39/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20/gene-mRpL46",18
"Benzamidine","GO:0099081","supramolecular polymer","25/205","350/9658",0.0714285714285714,3.36515679442509,6.63710959640673,9.22055061207444e-08,2.77287103861293e-05,2.67528320151289e-05,"gene-bent/gene-A1/gene-LOC142986440/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-RpL4/gene-Mlc1/gene-Tm2/gene-LOC142985541/gene-Obsc/gene-LOC142974453/gene-wupA/gene-LOC142978752/gene-LOC142982930/gene-awd/gene-LOC142979051/gene-LOC142974688/gene-LOC142987482/gene-Mf/gene-LOC142974687/gene-Pax/gene-LOC142983813/gene-sgg",25
"Benzamidine","GO:0099080","supramolecular complex","25/205","354/9658",0.0706214689265537,3.32713242386661,6.56902772220605,1.14913708667183e-07,3.15680462800715e-05,3.04570471333217e-05,"gene-bent/gene-A1/gene-LOC142986440/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-RpL4/gene-Mlc1/gene-Tm2/gene-LOC142985541/gene-Obsc/gene-LOC142974453/gene-wupA/gene-LOC142978752/gene-LOC142982930/gene-awd/gene-LOC142979051/gene-LOC142974688/gene-LOC142987482/gene-Mf/gene-LOC142974687/gene-Pax/gene-LOC142983813/gene-sgg",25
"Benzamidine","GO:0043292","contractile muscle fiber","17/205","172/9658",0.0988372093023256,4.6564378899603,7.12515114250371,1.28860844636675e-07,3.15680462800715e-05,3.04570471333217e-05,"gene-bent/gene-LOC142986440/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-RpL4/gene-Mlc1/gene-Tm2/gene-Obsc/gene-LOC142974453/gene-wupA/gene-LOC142978752/gene-LOC142987482/gene-Mf/gene-Pax/gene-LOC142983813",17
"Benzamidine","GO:0002181","cytoplasmic translation","13/205","98/9658",0.13265306122449,6.24957690393231,7.69168714622218,1.33601163216748e-07,3.15680462800715e-05,3.04570471333217e-05,"gene-LOC142973394/gene-RpL5/gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-RpS24/gene-RpL10Ab/gene-RpL12/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20",13
"Benzamidine","GO:0044449","GO:0044449","16/205","158/9658",0.10126582278481,4.77085520222291,7.03752279041044,2.19109580937218e-07,4.83209662493545e-05,4.66203683790628e-05,"gene-bent/gene-LOC142986440/gene-Prm/gene-TpnT/gene-Mhc/gene-RpL4/gene-Mlc1/gene-Tm2/gene-Obsc/gene-LOC142974453/gene-wupA/gene-LOC142978752/gene-LOC142987482/gene-Mf/gene-Pax/gene-LOC142983813",16
"Benzamidine","GO:0022626","cytosolic ribosome","12/205","92/9658",0.130434782608696,6.14506892895016,7.30185391747708,4.96017989105963e-07,0.000102241372045718,9.86431108135355e-05,"gene-RpL5/gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-RpS24/gene-RpL10Ab/gene-RpL12/gene-RpS23/gene-RpL8/gene-RpL30/gene-RpS20",12
"Benzamidine","GO:0030016","myofibril","15/205","148/9658",0.101351351351351,4.7748846407383,6.81486882473211,5.25424221516688e-07,0.000102241372045718,9.86431108135355e-05,"gene-bent/gene-LOC142986440/gene-Mlc2/gene-Prm/gene-TpnT/gene-Mhc/gene-RpL4/gene-Tm2/gene-Obsc/gene-LOC142974453/gene-wupA/gene-LOC142987482/gene-Mf/gene-Pax/gene-LOC142983813",15
"Benzamidine","GO:0008307","structural constituent of muscle","7/205","25/9658",0.28,13.1914146341463,8.98786506032832,6.08918595329552e-07,0.000111905706297231,0.000107967320528608,"gene-bent/gene-LOC142986440/gene-Mhc/gene-Tm2/gene-LOC142974453/gene-LOC142977753/gene-LOC142987482",7
"Benzamidine","GO:0030017","sarcomere","14/205","132/9658",0.106060606060606,4.99674796747967,6.80850337490431,7.31360731340923e-07,0.000127333752593462,0.000122852395425245,"gene-bent/gene-LOC142986440/gene-Prm/gene-TpnT/gene-Mhc/gene-RpL4/gene-Tm2/gene-Obsc/gene-LOC142974453/gene-wupA/gene-LOC142987482/gene-Mf/gene-Pax/gene-LOC142983813",14
