sample,label,cycle,stage,mean_phred
ID-1,Control_R1,1,before,39.2279
ID-1,Control_R1,2,before,39.4052
ID-1,Control_R1,3,before,39.6182
ID-1,Control_R1,4,before,39.6365
ID-1,Control_R1,5,before,39.6567
ID-1,Control_R1,6,before,39.7007
ID-1,Control_R1,7,before,39.7036
ID-1,Control_R1,8,before,39.7335
ID-1,Control_R1,9,before,39.7462
ID-1,Control_R1,10,before,39.7235
ID-1,Control_R1,11,before,39.78
ID-1,Control_R1,12,before,39.7282
ID-1,Control_R1,13,before,39.7559
ID-1,Control_R1,14,before,39.7496
ID-1,Control_R1,15,before,39.7752
ID-1,Control_R1,16,before,39.8209
ID-1,Control_R1,17,before,39.8356
ID-1,Control_R1,18,before,39.8174
ID-1,Control_R1,19,before,39.8137
ID-1,Control_R1,20,before,39.8153
ID-1,Control_R1,21,before,39.8425
ID-1,Control_R1,22,before,39.8275
ID-1,Control_R1,23,before,39.8257
ID-1,Control_R1,24,before,39.8273
ID-1,Control_R1,25,before,39.8252
ID-1,Control_R1,26,before,39.8033
ID-1,Control_R1,27,before,39.8005
ID-1,Control_R1,28,before,39.7952
ID-1,Control_R1,29,before,39.8164
ID-1,Control_R1,30,before,39.7917
ID-1,Control_R1,31,before,39.8012
ID-1,Control_R1,32,before,39.7924
ID-1,Control_R1,33,before,39.7899
ID-1,Control_R1,34,before,39.79
ID-1,Control_R1,35,before,39.7816
ID-1,Control_R1,36,before,39.7809
ID-1,Control_R1,37,before,39.635
ID-1,Control_R1,38,before,39.799
ID-1,Control_R1,39,before,39.7905
ID-1,Control_R1,40,before,39.7849
ID-1,Control_R1,41,before,39.7924
ID-1,Control_R1,42,before,39.7841
ID-1,Control_R1,43,before,39.7827
ID-1,Control_R1,44,before,39.6687
ID-1,Control_R1,45,before,39.6724
ID-1,Control_R1,46,before,39.4798
ID-1,Control_R1,47,before,39.7721
ID-1,Control_R1,48,before,39.5972
ID-1,Control_R1,49,before,39.4707
ID-1,Control_R1,50,before,39.5065
ID-1,Control_R1,51,before,39.5906
ID-1,Control_R1,52,before,39.4324
ID-1,Control_R1,53,before,39.5631
ID-1,Control_R1,54,before,39.4539
ID-1,Control_R1,55,before,39.4954
ID-1,Control_R1,56,before,39.4375
ID-1,Control_R1,57,before,39.5221
ID-1,Control_R1,58,before,39.6348
ID-1,Control_R1,59,before,39.4165
ID-1,Control_R1,60,before,39.5113
ID-1,Control_R1,61,before,39.3654
ID-1,Control_R1,62,before,39.3919
ID-1,Control_R1,63,before,39.4845
ID-1,Control_R1,64,before,39.5611
ID-1,Control_R1,65,before,39.3641
ID-1,Control_R1,66,before,39.368
ID-1,Control_R1,67,before,39.402
ID-1,Control_R1,68,before,39.4451
ID-1,Control_R1,69,before,39.4354
ID-1,Control_R1,70,before,39.3899
ID-1,Control_R1,71,before,39.3601
ID-1,Control_R1,72,before,39.4123
ID-1,Control_R1,73,before,39.5008
ID-1,Control_R1,74,before,39.5181
ID-1,Control_R1,75,before,39.4913
ID-1,Control_R1,76,before,39.5297
ID-1,Control_R1,77,before,39.5255
ID-1,Control_R1,78,before,39.5274
ID-1,Control_R1,79,before,39.5353
ID-1,Control_R1,80,before,39.5369
ID-1,Control_R1,81,before,39.5454
ID-1,Control_R1,82,before,39.5616
ID-1,Control_R1,83,before,39.5756
ID-1,Control_R1,84,before,39.5529
ID-1,Control_R1,85,before,39.5841
ID-1,Control_R1,86,before,39.5933
ID-1,Control_R1,87,before,39.5885
ID-1,Control_R1,88,before,39.5951
ID-1,Control_R1,89,before,39.5899
ID-1,Control_R1,90,before,39.5865
ID-1,Control_R1,91,before,39.5944
ID-1,Control_R1,92,before,39.601
ID-1,Control_R1,93,before,39.5981
ID-1,Control_R1,94,before,39.6074
ID-1,Control_R1,95,before,39.6063
ID-1,Control_R1,96,before,39.6097
ID-1,Control_R1,97,before,39.612
ID-1,Control_R1,98,before,39.607
ID-1,Control_R1,99,before,39.6046
ID-1,Control_R1,100,before,39.6048
ID-1,Control_R1,101,before,39.5997
ID-1,Control_R1,102,before,39.5967
ID-1,Control_R1,103,before,39.6015
ID-1,Control_R1,104,before,39.6007
ID-1,Control_R1,105,before,39.5933
ID-1,Control_R1,106,before,39.5984
ID-1,Control_R1,107,before,39.5889
ID-1,Control_R1,108,before,39.5918
ID-1,Control_R1,109,before,39.591
ID-1,Control_R1,110,before,39.5846
ID-1,Control_R1,111,before,39.5783
ID-1,Control_R1,112,before,39.5783
ID-1,Control_R1,113,before,39.572
ID-1,Control_R1,114,before,39.568
ID-1,Control_R1,115,before,39.5693
ID-1,Control_R1,116,before,39.5659
ID-1,Control_R1,117,before,39.5628
ID-1,Control_R1,118,before,39.5652
ID-1,Control_R1,119,before,39.5597
ID-1,Control_R1,120,before,39.5522
ID-1,Control_R1,121,before,39.5534
ID-1,Control_R1,122,before,39.5439
ID-1,Control_R1,123,before,39.5351
ID-1,Control_R1,124,before,39.5376
ID-1,Control_R1,125,before,39.5286
ID-1,Control_R1,126,before,39.5172
ID-1,Control_R1,127,before,39.5224
ID-1,Control_R1,128,before,39.5117
ID-1,Control_R1,129,before,39.5079
ID-1,Control_R1,130,before,39.5039
ID-1,Control_R1,131,before,39.4926
ID-1,Control_R1,132,before,39.4883
ID-1,Control_R1,133,before,39.4864
ID-1,Control_R1,134,before,39.471
ID-1,Control_R1,135,before,39.4608
ID-1,Control_R1,136,before,39.4522
ID-1,Control_R1,137,before,39.4419
ID-1,Control_R1,138,before,39.4273
ID-1,Control_R1,139,before,39.4177
ID-1,Control_R1,140,before,39.4025
ID-1,Control_R1,141,before,39.3859
ID-1,Control_R1,142,before,39.3734
ID-1,Control_R1,143,before,39.3508
ID-1,Control_R1,144,before,39.3324
ID-1,Control_R1,145,before,39.3131
ID-1,Control_R1,146,before,39.292
ID-1,Control_R1,147,before,39.2199
ID-1,Control_R1,148,before,39.2413
ID-1,Control_R1,149,before,39.2167
ID-1,Control_R1,150,before,39.1881
ID-1,Control_R1,151,before,38.8036
ID-1,Control_R1,1,after,39.2528
ID-1,Control_R1,2,after,39.4382
ID-1,Control_R1,3,after,39.6454
ID-1,Control_R1,4,after,39.666
ID-1,Control_R1,5,after,39.6919
ID-1,Control_R1,6,after,39.734
ID-1,Control_R1,7,after,39.7398
ID-1,Control_R1,8,after,39.7667
ID-1,Control_R1,9,after,39.778
ID-1,Control_R1,10,after,39.7559
ID-1,Control_R1,11,after,39.8107
ID-1,Control_R1,12,after,39.7625
ID-1,Control_R1,13,after,39.7882
ID-1,Control_R1,14,after,39.7797
ID-1,Control_R1,15,after,39.807
ID-1,Control_R1,16,after,39.8517
ID-1,Control_R1,17,after,39.8675
ID-1,Control_R1,18,after,39.8486
ID-1,Control_R1,19,after,39.8464
ID-1,Control_R1,20,after,39.8465
ID-1,Control_R1,21,after,39.8747
ID-1,Control_R1,22,after,39.861
ID-1,Control_R1,23,after,39.8593
ID-1,Control_R1,24,after,39.8586
ID-1,Control_R1,25,after,39.8576
ID-1,Control_R1,26,after,39.8389
ID-1,Control_R1,27,after,39.8381
ID-1,Control_R1,28,after,39.8353
ID-1,Control_R1,29,after,39.8558
ID-1,Control_R1,30,after,39.8308
ID-1,Control_R1,31,after,39.8393
ID-1,Control_R1,32,after,39.8346
ID-1,Control_R1,33,after,39.8315
ID-1,Control_R1,34,after,39.8331
ID-1,Control_R1,35,after,39.8372
ID-1,Control_R1,36,after,39.83
ID-1,Control_R1,37,after,39.8433
ID-1,Control_R1,38,after,39.8449
ID-1,Control_R1,39,after,39.8354
ID-1,Control_R1,40,after,39.8399
ID-1,Control_R1,41,after,39.8387
ID-1,Control_R1,42,after,39.8332
ID-1,Control_R1,43,after,39.836
ID-1,Control_R1,44,after,39.8283
ID-1,Control_R1,45,after,39.8054
ID-1,Control_R1,46,after,39.8125
ID-1,Control_R1,47,after,39.833
ID-1,Control_R1,48,after,39.7975
ID-1,Control_R1,49,after,39.8048
ID-1,Control_R1,50,after,39.7845
ID-1,Control_R1,51,after,39.8012
ID-1,Control_R1,52,after,39.7676
ID-1,Control_R1,53,after,39.7909
ID-1,Control_R1,54,after,39.7731
ID-1,Control_R1,55,after,39.779
ID-1,Control_R1,56,after,39.7783
ID-1,Control_R1,57,after,39.7825
ID-1,Control_R1,58,after,39.7947
ID-1,Control_R1,59,after,39.7791
ID-1,Control_R1,60,after,39.7779
ID-1,Control_R1,61,after,39.753
ID-1,Control_R1,62,after,39.7632
ID-1,Control_R1,63,after,39.7749
ID-1,Control_R1,64,after,39.7875
ID-1,Control_R1,65,after,39.7494
ID-1,Control_R1,66,after,39.7527
ID-1,Control_R1,67,after,39.7184
ID-1,Control_R1,68,after,39.7507
ID-1,Control_R1,69,after,39.7505
ID-1,Control_R1,70,after,39.7443
ID-1,Control_R1,71,after,39.7405
ID-1,Control_R1,72,after,39.7498
ID-1,Control_R1,73,after,39.7713
ID-1,Control_R1,74,after,39.7679
ID-1,Control_R1,75,after,39.7329
ID-1,Control_R1,76,after,39.7669
ID-1,Control_R1,77,after,39.7582
ID-1,Control_R1,78,after,39.7526
ID-1,Control_R1,79,after,39.7515
ID-1,Control_R1,80,after,39.7431
ID-1,Control_R1,81,after,39.7404
ID-1,Control_R1,82,after,39.7436
ID-1,Control_R1,83,after,39.7474
ID-1,Control_R1,84,after,39.7135
ID-1,Control_R1,85,after,39.7347
ID-1,Control_R1,86,after,39.7368
ID-1,Control_R1,87,after,39.7264
ID-1,Control_R1,88,after,39.727
ID-1,Control_R1,89,after,39.7156
ID-1,Control_R1,90,after,39.7078
ID-1,Control_R1,91,after,39.7108
ID-1,Control_R1,92,after,39.7129
ID-1,Control_R1,93,after,39.7057
ID-1,Control_R1,94,after,39.7105
ID-1,Control_R1,95,after,39.7066
ID-1,Control_R1,96,after,39.7066
ID-1,Control_R1,97,after,39.7059
ID-1,Control_R1,98,after,39.6988
ID-1,Control_R1,99,after,39.6945
ID-1,Control_R1,100,after,39.6929
ID-1,Control_R1,101,after,39.6871
ID-1,Control_R1,102,after,39.6836
ID-1,Control_R1,103,after,39.6868
ID-1,Control_R1,104,after,39.685
ID-1,Control_R1,105,after,39.6765
ID-1,Control_R1,106,after,39.6816
ID-1,Control_R1,107,after,39.6718
ID-1,Control_R1,108,after,39.6739
ID-1,Control_R1,109,after,39.6733
ID-1,Control_R1,110,after,39.6666
ID-1,Control_R1,111,after,39.661
ID-1,Control_R1,112,after,39.6603
ID-1,Control_R1,113,after,39.6547
ID-1,Control_R1,114,after,39.6513
ID-1,Control_R1,115,after,39.6526
ID-1,Control_R1,116,after,39.6492
ID-1,Control_R1,117,after,39.6468
ID-1,Control_R1,118,after,39.6504
ID-1,Control_R1,119,after,39.6458
ID-1,Control_R1,120,after,39.64
ID-1,Control_R1,121,after,39.6416
ID-1,Control_R1,122,after,39.6343
ID-1,Control_R1,123,after,39.6269
ID-1,Control_R1,124,after,39.6306
ID-1,Control_R1,125,after,39.6237
ID-1,Control_R1,126,after,39.6143
ID-1,Control_R1,127,after,39.6214
ID-1,Control_R1,128,after,39.6145
ID-1,Control_R1,129,after,39.615
ID-1,Control_R1,130,after,39.6145
ID-1,Control_R1,131,after,39.6075
ID-1,Control_R1,132,after,39.6081
ID-1,Control_R1,133,after,39.6124
ID-1,Control_R1,134,after,39.603
ID-1,Control_R1,135,after,39.5997
ID-1,Control_R1,136,after,39.5978
ID-1,Control_R1,137,after,39.5955
