gene_id,residue_at_His_col,His_at_reference_column,residue_at_Ser_col,Ser_at_reference_column,curated_pass
gene-BAEE,H,PASS,S,PASS,PASS
gene-CLIP3,H,PASS,S,PASS,PASS
gene-CLIP4,H,PASS,S,PASS,PASS
gene-Corin,H,PASS,S,PASS,PASS
gene-LOC142972507,H,PASS,S,PASS,PASS
gene-LOC142973000,H,PASS,S,PASS,PASS
gene-LOC142973802,H,PASS,S,PASS,PASS
gene-LOC142973877,H,PASS,S,PASS,PASS
gene-LOC142974109,H,PASS,S,PASS,PASS
gene-LOC142974114,H,PASS,S,PASS,PASS
gene-LOC142974259,H,PASS,S,PASS,PASS
gene-LOC142974260,H,PASS,S,PASS,PASS
gene-LOC142975017,H,PASS,S,PASS,PASS
gene-LOC142975112,H,PASS,S,PASS,PASS
gene-LOC142975131,H,PASS,S,PASS,PASS
gene-LOC142975207,H,PASS,S,PASS,PASS
gene-LOC142975259,H,PASS,S,PASS,PASS
gene-LOC142975272,H,PASS,S,PASS,PASS
gene-LOC142975290,H,PASS,S,PASS,PASS
gene-LOC142975421,H,PASS,S,PASS,PASS
gene-LOC142975428,H,PASS,S,PASS,PASS
gene-LOC142975433,H,PASS,S,PASS,PASS
gene-LOC142975488,H,PASS,S,PASS,PASS
gene-LOC142975505,-,FAIL,S,PASS,FAIL
gene-LOC142975571,H,PASS,S,PASS,PASS
gene-LOC142975585,H,PASS,S,PASS,PASS
gene-LOC142975714,H,PASS,S,PASS,PASS
gene-LOC142976211,H,PASS,S,PASS,PASS
gene-LOC142976225,H,PASS,S,PASS,PASS
gene-LOC142976242,H,PASS,S,PASS,PASS
gene-LOC142976249,H,PASS,S,PASS,PASS
gene-LOC142976267,H,PASS,S,PASS,PASS
gene-LOC142976275,H,PASS,S,PASS,PASS
gene-LOC142976292,H,PASS,S,PASS,PASS
gene-LOC142976297,H,PASS,S,PASS,PASS
gene-LOC142976298,H,PASS,S,PASS,PASS
gene-LOC142976303,H,PASS,S,PASS,PASS
gene-LOC142976311,H,PASS,S,PASS,PASS
gene-LOC142976326,H,PASS,S,PASS,PASS
gene-LOC142976342,H,PASS,S,PASS,PASS
gene-LOC142976357,H,PASS,S,PASS,PASS
gene-LOC142976372,H,PASS,S,PASS,PASS
gene-LOC142976375,H,PASS,S,PASS,PASS
gene-LOC142976384,H,PASS,S,PASS,PASS
gene-LOC142976388,H,PASS,S,PASS,PASS
gene-LOC142976395,H,PASS,S,PASS,PASS
gene-LOC142976399,H,PASS,S,PASS,PASS
gene-LOC142976413,H,PASS,S,PASS,PASS
gene-LOC142976493,H,PASS,S,PASS,PASS
gene-LOC142976563,H,PASS,S,PASS,PASS
gene-LOC142976586,H,PASS,S,PASS,PASS
gene-LOC142976816,H,PASS,S,PASS,PASS
gene-LOC142976817,H,PASS,S,PASS,PASS
gene-LOC142976887,H,PASS,S,PASS,PASS
gene-LOC142976888,H,PASS,S,PASS,PASS
gene-LOC142976889,H,PASS,S,PASS,PASS
gene-LOC142976890,H,PASS,S,PASS,PASS
gene-LOC142976891,H,PASS,S,PASS,PASS
gene-LOC142976892,H,PASS,S,PASS,PASS
gene-LOC142976981,H,PASS,S,PASS,PASS
gene-LOC142976993,H,PASS,S,PASS,PASS
gene-LOC142977012,H,PASS,S,PASS,PASS
gene-LOC142977033,H,PASS,S,PASS,PASS
gene-LOC142977034,H,PASS,S,PASS,PASS
gene-LOC142977036,H,PASS,S,PASS,PASS
gene-LOC142977164,H,PASS,S,PASS,PASS
gene-LOC142977192,H,PASS,S,PASS,PASS
gene-LOC142977193,H,PASS,S,PASS,PASS
gene-LOC142977196,H,PASS,S,PASS,PASS
gene-LOC142977211,H,PASS,S,PASS,PASS
gene-LOC142977212,H,PASS,S,PASS,PASS
gene-LOC142977213,H,PASS,S,PASS,PASS
gene-LOC142977217,H,PASS,S,PASS,PASS
gene-LOC142977237,H,PASS,S,PASS,PASS
gene-LOC142977241,H,PASS,S,PASS,PASS
gene-LOC142977254,H,PASS,S,PASS,PASS
gene-LOC142977262,H,PASS,S,PASS,PASS
gene-LOC142977338,H,PASS,S,PASS,PASS
gene-LOC142977339,H,PASS,S,PASS,PASS
gene-LOC142977340,H,PASS,S,PASS,PASS
gene-LOC142977341,H,PASS,S,PASS,PASS
gene-LOC142977342,H,PASS,S,PASS,PASS
gene-LOC142977343,H,PASS,S,PASS,PASS
gene-LOC142977344,H,PASS,S,PASS,PASS
gene-LOC142977345,H,PASS,S,PASS,PASS
gene-LOC142977353,H,PASS,S,PASS,PASS
gene-LOC142977357,H,PASS,S,PASS,PASS
gene-LOC142977366,H,PASS,S,PASS,PASS
gene-LOC142977367,H,PASS,S,PASS,PASS
gene-LOC142977368,H,PASS,S,PASS,PASS
gene-LOC142977384,H,PASS,S,PASS,PASS
gene-LOC142977385,H,PASS,S,PASS,PASS
gene-LOC142977386,H,PASS,S,PASS,PASS
gene-LOC142977387,H,PASS,S,PASS,PASS
gene-LOC142977389,H,PASS,S,PASS,PASS
gene-LOC142977899,H,PASS,S,PASS,PASS
gene-LOC142977952,H,PASS,S,PASS,PASS
gene-LOC142978788,H,PASS,S,PASS,PASS
gene-LOC142979068,H,PASS,S,PASS,PASS
gene-LOC142979258,H,PASS,S,PASS,PASS
gene-LOC142980478,H,PASS,S,PASS,PASS
gene-LOC142980480,H,PASS,S,PASS,PASS
gene-LOC142980481,H,PASS,S,PASS,PASS
gene-LOC142980483,H,PASS,S,PASS,PASS
gene-LOC142980484,H,PASS,S,PASS,PASS
gene-LOC142980485,H,PASS,S,PASS,PASS
gene-LOC142980486,H,PASS,S,PASS,PASS
gene-LOC142980604,H,PASS,S,PASS,PASS
gene-LOC142980775,H,PASS,S,PASS,PASS
gene-LOC142980776,H,PASS,S,PASS,PASS
gene-LOC142980778,H,PASS,S,PASS,PASS
gene-LOC142980779,H,PASS,S,PASS,PASS
gene-LOC142980780,H,PASS,S,PASS,PASS
gene-LOC142980781,H,PASS,S,PASS,PASS
gene-LOC142980783,H,PASS,S,PASS,PASS
gene-LOC142981295,H,PASS,S,PASS,PASS
gene-LOC142981298,H,PASS,S,PASS,PASS
gene-LOC142981380,H,PASS,S,PASS,PASS
gene-LOC142981382,H,PASS,S,PASS,PASS
gene-LOC142981384,H,PASS,S,PASS,PASS
gene-LOC142981546,H,PASS,S,PASS,PASS
gene-LOC142981693,H,PASS,S,PASS,PASS
gene-LOC142981735,H,PASS,S,PASS,PASS
gene-LOC142981761,H,PASS,S,PASS,PASS
gene-LOC142981889,H,PASS,S,PASS,PASS
gene-LOC142982051,H,PASS,S,PASS,PASS
gene-LOC142982056,H,PASS,S,PASS,PASS
gene-LOC142982094,H,PASS,S,PASS,PASS
gene-LOC142982263,H,PASS,S,PASS,PASS
gene-LOC142982269,H,PASS,S,PASS,PASS
gene-LOC142982271,H,PASS,S,PASS,PASS
gene-LOC142982287,H,PASS,S,PASS,PASS
gene-LOC142982350,H,PASS,S,PASS,PASS
gene-LOC142982352,H,PASS,S,PASS,PASS
gene-LOC142982971,H,PASS,S,PASS,PASS
gene-LOC142982975,H,PASS,S,PASS,PASS
gene-LOC142983020,H,PASS,S,PASS,PASS
gene-LOC142983021,H,PASS,S,PASS,PASS
gene-LOC142983058,H,PASS,S,PASS,PASS
gene-LOC142983152,H,PASS,S,PASS,PASS
gene-LOC142983160,H,PASS,S,PASS,PASS
gene-LOC142983168,H,PASS,S,PASS,PASS
gene-LOC142983211,H,PASS,S,PASS,PASS
gene-LOC142983572,H,PASS,S,PASS,PASS
gene-LOC142983577,H,PASS,S,PASS,PASS
gene-LOC142983594,H,PASS,S,PASS,PASS
gene-LOC142983603,H,PASS,S,PASS,PASS
gene-LOC142983873,H,PASS,S,PASS,PASS
gene-LOC142983889,H,PASS,S,PASS,PASS
gene-LOC142983941,H,PASS,S,PASS,PASS
gene-LOC142983947,H,PASS,S,PASS,PASS
gene-LOC142983986,H,PASS,S,PASS,PASS
gene-LOC142983987,H,PASS,S,PASS,PASS
gene-LOC142983990,H,PASS,S,PASS,PASS
gene-LOC142983993,H,PASS,S,PASS,PASS
gene-LOC142984491,H,PASS,S,PASS,PASS
gene-LOC142984536,H,PASS,S,PASS,PASS
gene-LOC142984834,H,PASS,S,PASS,PASS
gene-LOC142985128,H,PASS,S,PASS,PASS
gene-LOC142985215,H,PASS,S,PASS,PASS
gene-LOC142985256,H,PASS,S,PASS,PASS
gene-LOC142985329,H,PASS,S,PASS,PASS
gene-LOC142985423,H,PASS,S,PASS,PASS
gene-LOC142986390,H,PASS,S,PASS,PASS
gene-LOC142986441,H,PASS,S,PASS,PASS
gene-Np,H,PASS,S,PASS,PASS
gene-P37k,-,FAIL,S,PASS,FAIL
gene-ndl,H,PASS,S,PASS,PASS
