gene_id,pfam_accessions
gene--w-2,PF00005.34;PF01061.30;PF13304.13;PF19055.7
gene-128up,PF01926.30;PF02421.25;PF02824.28;PF16897.11
gene-14-3-3epsilon,PF00244.27
gene-14-3-3zeta,PF00244.27
gene-140up,PF02466.25
gene-18w,PF00560.40;PF01582.26;PF12799.14;PF13306.13;PF13855.13;PF14580.13;PF23598.2
gene-26-29-p,PF00112.30;PF08246.18
gene-2mit,PF00560.40;PF12799.14;PF13306.13;PF13855.13;PF14580.13
gene-3HCD,PF00725.28;PF02737.25;PF07992.21
gene-5-HT2A,PF00001.27
gene-5-HT2B,PF00001.27
gene-5PtaseI,PF22669.3
gene-6pgl,PF01182.27
gene-7B2,PF05281.17
gene-A1,PF00022.26
gene-A2,PF00022.26
gene-ABCB7,PF00005.34;PF00664.29;PF02463.26
gene-ABCD,PF00005.34;PF05992.18;PF06472.21
gene-ACBP,PF00887.25
gene-ACBP-like,PF00887.25
gene-ACC,PF00289.29;PF00364.29;PF01039.28;PF02785.26;PF02786.23;PF08326.18;PF21385.3
gene-ADD1,PF17981.8
gene-AGBE,PF00128.32;PF02806.25;PF02922.25
gene-AGO1,PF02170.29;PF02171.24;PF08699.16;PF16486.12;PF16487.11;PF16488.11
gene-AGO3,PF02170.29;PF02171.24;PF23278.2
gene-AGPAT2,PF01553.27
gene-AGPAT5,PF01553.27
gene-AIMP1,PF01588.27
gene-AIMP3,PF21972.2
gene-AK,PF00217.25;PF02807.21
gene-AKH1,PF06377.17
gene-AKH2,PF06377.17
gene-AKH3,PF06377.17
gene-ALiX,PF03097.25;PF13949.12
gene-AMPKalpha,PF00069.32;PF07714.24;PF14531.13;PF16579.12;PF21147.4
gene-AP-1-2beta,PF00514.30;PF01602.27;PF02883.27;PF02985.29;PF09066.16;PF12717.14;PF12719.14;PF13513.13;PF13646.13;PF20168.5;PF23271.2
gene-AP-1gamma,PF01602.27;PF02883.27;PF12717.14;PF22928.3
gene-AP-1mu,PF00928.27;PF01217.27
gene-AP-1sigma,PF01217.27
gene-AP-2alpha,PF01602.27;PF02296.23;PF02883.27;PF12717.14;PF23271.2
gene-AP-2mu,PF00928.27;PF01217.27
gene-AP-2sigma,PF01217.27
gene-APC10,PF03256.23
gene-APC4,PF12894.14;PF12896.13;PF23405.2;PF24807.2;PF24817.2
gene-APP-BP1,PF00899.28
gene-ASPP,PF00018.35;PF00023.37;PF07653.24;PF12796.14;PF13606.13;PF13637.13;PF13857.13;PF14604.13
gene-AST-A,PF05953.18
gene-ATP7,PF00122.26;PF00403.33;PF00702.33
gene-ATP8A,PF00122.26;PF00702.33;PF13246.13;PF16209.11;PF16212.12
gene-ATP8B,PF00702.33;PF13246.13;PF16209.11;PF16212.12
gene-ATPCL,PF00285.27;PF00549.25;PF02629.26;PF08442.16;PF16114.11;PF24948.2
gene-ATPsynB,PF05405.20
gene-ATPsynC,PF00137.27
gene-ATPsynCF6,PF05511.17
gene-ATPsynD,PF05873.18
gene-ATPsynE,PF05680.18
gene-ATPsynF,PF10206.15
gene-ATPsynG,PF04718.21
gene-ATPsynO,PF00213.24
gene-ATPsyndelta,PF02823.22;PF21335.3
gene-Aasdh,PF00501.35;PF13360.14;PF13570.14;PF23414.2
gene-Aatf,PF08164.18;PF13339.12
gene-Abd-b,PF00046.36
gene-Abi,PF00018.35;PF07653.24;PF07815.20;PF14604.13;PF27594.1
gene-Abl,PF00017.31;PF00018.35;PF00069.32;PF07653.24;PF07714.24;PF14604.13
gene-Abp1,PF00018.35;PF00241.26;PF07653.24;PF14604.13
gene-Ac13E,PF00211.26
gene-Ac3,PF00211.26;PF16214.10
gene-AcCoAS,PF00501.35;PF13193.13;PF16177.12
gene-Acade,PF00441.30;PF02770.25;PF02771.22;PF08028.17
gene-Acadvl,PF00441.30;PF02770.25;PF02771.22;PF08028.17;PF21343.3;PF22924.2
gene-Acci,PF00326.28;PF00930.28;PF16294.11
gene-Acf,PF00439.31;PF00628.36;PF02791.23;PF10537.15;PF13831.13;PF15612.12;PF15613.12
gene-Achi,PF05920.18
gene-Achl,PF05383.24
gene-Ack,PF00018.35;PF00069.32;PF07714.24;PF22931.5
gene-Ack-like,PF00069.32;PF07714.24;PF22931.5
gene-Acox3,PF01756.25;PF02770.25;PF22924.2
gene-Acsf2,PF00501.35;PF13193.13
gene-Acsf3,PF00501.35;PF13193.13
gene-Acsl,PF00501.35
gene-Actbeta,PF00019.26
gene-Actn,PF00036.39;PF00307.37;PF00435.28;PF08726.17;PF13405.13;PF13499.13
gene-Ada,PF00962.29
gene-Ada2a,PF00249.38;PF04433.24;PF13921.13;PF22941.2;PF23588.3;PF25299.2
gene-Ada2b,PF00249.38;PF00569.24;PF13921.13;PF22941.2;PF24533.2;PF25299.2
gene-Ada3,PF10198.15
gene-AdamTS-B,PF00090.26;PF01421.26;PF01562.25;PF05986.20;PF13574.13;PF13582.13;PF13688.13;PF17771.7;PF19028.7;PF19030.7;PF19035.7;PF25379.2
gene-Adamts-1,PF00090.26;PF01421.26;PF13574.13;PF13582.13;PF13583.12;PF13688.13;PF17771.7;PF19030.7;PF25379.2
gene-Adamts-like,PF01421.26;PF13574.13;PF13582.13;PF13583.12;PF13688.13;PF17771.7
gene-Adar,PF00035.33;PF02137.25
gene-Adat1,PF02137.25
gene-Adck1,PF03109.23
gene-Adh,PF00106.32;PF01073.26;PF08659.17;PF13561.13
gene-Adi1,PF03079.21;PF07883.18
gene-AdipoR,PF03006.27
gene-Adk2,PF00294.30
gene-AdoR,PF00001.27;PF10320.16
gene-Adsl,PF00206.26;PF10397.15
gene-Adss,PF00709.28
gene-Aduk,PF00069.32;PF03109.23;PF04212.25;PF07714.24
gene-Ae2,PF00955.28;PF07565.19
gene-Afg3l2,PF00004.36;PF01434.25;PF06480.21;PF17862.8
gene-Afti,PF15045.12
gene-Ago2,PF02170.29;PF02171.24;PF08699.16;PF16486.12;PF16488.11
gene-Agpat1,PF01553.27
gene-Agps,PF01565.29;PF02913.25
gene-Agxt,PF00266.26
gene-Ahcy,PF00670.28;PF02826.26;PF05221.24
gene-Ahsa1,PF08327.18;PF09229.18
gene-Ai-b,PF04568.18
gene-Ak2,PF00406.30;PF05191.21;PF13207.13
gene-Ak6,PF13238.13
gene-AkhR,PF00001.27
gene-Akt,PF00069.32;PF00169.36;PF00433.30;PF07714.24;PF14531.13
gene-AlaRS,PF01411.25;PF02272.25;PF07973.20
gene-AlaRS-m,PF01411.25;PF07973.20
gene-Alas,PF00155.28
gene-Aldh,PF00171.28
gene-Aldh7A1,PF00171.28
gene-Alg-2,PF00036.39;PF13202.13;PF13405.13;PF13499.13;PF13833.13;PF23564.2;PF24548.2
