gene_id,kegg_ko
gene--w-2,ko:K21396
gene-14-3-3epsilon,ko:K06630
gene-14-3-3zeta,ko:K06630
gene-14-3-3zeta,ko:K16197
gene-3HCD,ko:K00022
gene-5-HT2A,ko:K04157
gene-5PtaseI,ko:K01106
gene-6pgl,ko:K01057
gene-A1,ko:K05692
gene-A2,ko:K05692
gene-ABCB7,ko:K05662
gene-ABCD,ko:K05675
gene-ABCD,ko:K05676
gene-ACBP,ko:K08762
gene-ACBP-like,ko:K08762
gene-ACC,ko:K11262
gene-ADD1,ko:K10779
gene-ADD1,ko:K10875
gene-AGBE,ko:K00700
gene-AGO1,ko:K11593
gene-AGO3,ko:K02156
gene-AGPAT2,ko:K13509
gene-AGPAT5,ko:K13509
gene-AIMP1,ko:K15437
gene-AK,ko:K00933
gene-AK,ko:K00934
gene-ALiX,ko:K12200
gene-AMPKalpha,ko:K07198
gene-AP-1-2beta,ko:K11825
gene-AP-1-2beta,ko:K12392
gene-AP-1gamma,ko:K12391
gene-AP-1gamma,ko:K12400
gene-AP-1mu,ko:K02332
gene-AP-1mu,ko:K10352
gene-AP-1mu,ko:K12393
gene-AP-1mu,ko:K12473
gene-AP-1sigma,ko:K12394
gene-AP-2alpha,ko:K11824
gene-AP-2mu,ko:K11826
gene-AP-2sigma,ko:K11827
gene-APC10,ko:K03357
gene-APC4,ko:K03351
gene-APP-BP1,ko:K04532
gene-AQP,ko:K09871
gene-AQP,ko:K09884
gene-ASPP,ko:K02177
gene-ASPP,ko:K16823
gene-ASPP,ko:K17554
gene-ATP7,ko:K17686
gene-ATP8A,ko:K14802
gene-ATP8B,ko:K01530
gene-ATP8B,ko:K14802
gene-ATPCL,ko:K01648
gene-ATPsynB,ko:K02127
gene-ATPsynC,ko:K02128
gene-ATPsynCF6,ko:K02131
gene-ATPsynD,ko:K02138
gene-ATPsynE,ko:K02129
gene-ATPsynF,ko:K02130
gene-ATPsynG,ko:K02140
gene-ATPsynO,ko:K02137
gene-ATPsyndelta,ko:K02134
gene-Aanat,ko:K00669
gene-Aasdh,ko:K00142
gene-Aatf,ko:K14782
gene-Abd-b,ko:K09294
gene-Abd-b,ko:K09300
gene-Abd-b,ko:K09306
gene-Abd-b,ko:K21951
gene-Abi,ko:K05751
gene-Abl,ko:K03679
gene-Abl,ko:K06619
gene-Abl,ko:K08887
gene-Abp1,ko:K20520
gene-Ac13E,ko:K08049
gene-Ac3,ko:K01768
gene-Ac3,ko:K08043
gene-Ac3,ko:K08045
gene-AcCoAS,ko:K01895
gene-Acade,ko:K09478
gene-Acadvl,ko:K09479
gene-Acci,ko:K01278
gene-Acci,ko:K08674
gene-Acf,ko:K11655
gene-Achi,ko:K19383
gene-Achi,ko:K19553
gene-Achl,ko:K18733
gene-Ack,ko:K04256
gene-Ack,ko:K08252
gene-Ack,ko:K08885
gene-Ack,ko:K08886
gene-Ack-like,ko:K08886
gene-Acox3,ko:K00232
gene-Acsf2,ko:K00666
gene-Acsf3,ko:K18660
gene-Acsl,ko:K01897
gene-Actbeta,ko:K04667
gene-Actn,ko:K05699
gene-Actn,ko:K21073
gene-Ada,ko:K01488
gene-Ada2a,ko:K03012
gene-Ada2a,ko:K11314
gene-Ada2b,ko:K15127
gene-Ada2b,ko:K20167
gene-Ada3,ko:K11315
gene-AdamTS-B,ko:K08622
gene-AdamTS-B,ko:K08626
gene-Adar,ko:K13194
gene-Adat1,ko:K15440
gene-Adck1,ko:K08869
gene-Adh,ko:K00069
gene-Adi1,ko:K08967
gene-AdipoR,ko:K07297
gene-Adk2,ko:K00856
gene-AdoR,ko:K04266
gene-Adsl,ko:K01756
gene-Adss,ko:K01939
gene-Aduk,ko:K21358
gene-Ae2,ko:K13855
gene-Ae2,ko:K13856
gene-Afg3l2,ko:K08956
gene-Ago2,ko:K11593
gene-Agpat1,ko:K13509
gene-Agps,ko:K00803
gene-Agxt,ko:K00830
gene-Ahcy,ko:K01251
gene-Ai-b,ko:K22255
gene-Ak2,ko:K00939
gene-Ak6,ko:K18532
gene-AkhR,ko:K04280
gene-Akt,ko:K04456
gene-AlaRS,ko:K01872
gene-AlaRS-m,ko:K01872
gene-Alas,ko:K00643
gene-Aldh,ko:K00128
gene-Aldh,ko:K07249
gene-Aldh7A1,ko:K14085
gene-Alg1,ko:K03842
gene-Alg10,ko:K18693
gene-Alg11,ko:K03844
gene-Alg12,ko:K01873
gene-Alg12,ko:K03847
gene-Alg14,ko:K07441
gene-Alg2,ko:K03843
gene-Alg3,ko:K03845
gene-Alg7,ko:K01001
gene-Alg9,ko:K03846
gene-Alk,ko:K05088
gene-Alk,ko:K05119
gene-AlkB,ko:K01426
gene-AlkB,ko:K10765
gene-AlkB,ko:K20168
gene-Alr,ko:K17783
gene-Als2,ko:K04575
gene-Aly,ko:K21773
gene-Amacr,ko:K01796
gene-Amnionless,ko:K18259
gene-Amph,ko:K12562
gene-Amt,ko:K03320
gene-Amy,ko:K01176
gene-Ance-3,ko:K01283
gene-Ankle2,ko:K21412
gene-Ankrd49,ko:K21439
gene-AnnIX,ko:K17095
gene-Ant,ko:K05863
gene-AnxB10,ko:K17089
gene-AnxB10,ko:K17095
gene-Anxb13,ko:K17095
gene-Aos1,ko:K10684
gene-Aox1,ko:K00106
gene-Apaf-1,ko:K02084
gene-ApepP,ko:K01262
gene-Apf,ko:K01518
gene-Aplip1,ko:K04434
gene-Apn1,ko:K11140
gene-Apn2,ko:K11140
gene-Apn3,ko:K11140
gene-Apn4,ko:K11140
gene-Appl,ko:K04520
gene-Appl,ko:K08117
gene-Aprt,ko:K00759
gene-Aps,ko:K07766
gene-Apt1,ko:K06128
gene-Apt1,ko:K06130
gene-Aptx,ko:K10863
gene-Arc42,ko:K00248
gene-Arf102F,ko:K07937
gene-Arf102F,ko:K07939
gene-Arf102F,ko:K07940
gene-Arf102F,ko:K07977
gene-Arf51F,ko:K07941
gene-Arf79F,ko:K07937
gene-ArfGAP1,ko:K12492
gene-ArfGAP3,ko:K12493
gene-Arfip,ko:K20314
gene-Arfrp1,ko:K07952
gene-ArgRS-m,ko:K01887
gene-ArgRS-m,ko:K02890
gene-Argl,ko:K01755
gene-Arglu1,ko:K16608
gene-Arl1,ko:K07942
gene-Arl2,ko:K07943
gene-Arl2,ko:K21596
gene-Arl4,ko:K07945
gene-Arl5,ko:K07949
gene-Arl5,ko:K07950
gene-Arl6,ko:K07951
gene-Arp1,ko:K16575
gene-Arp10,ko:K16576
gene-Arp2,ko:K17260
gene-Arp3,ko:K18584
gene-Arp5,ko:K11672
gene-Arp6,ko:K11662
gene-Arp8,ko:K11673
gene-Arpc1,ko:K05757
gene-Arpc2,ko:K05758
gene-Arpc3A,ko:K05756
gene-Arpc4,ko:K00275
gene-Arpc4,ko:K05755
gene-Arpc5,ko:K05754
gene-Arr1,ko:K13808
gene-Arr2,ko:K13805
gene-Art1,ko:K11434
gene-Art1,ko:K11439
gene-Art3,ko:K11436
gene-Art4,ko:K05931
gene-Art7,ko:K11438
gene-Art8,ko:K11434
gene-Arv1,ko:K21848
gene-Asap,ko:K12488
gene-Asator,ko:K08204
gene-Asator,ko:K08815
gene-Ase,ko:K09067
gene-Ask1,ko:K04426
gene-Ask1,ko:K13986
gene-AsnRS,ko:K01893
gene-AsnRS,ko:K02902
gene-AsnRS-m,ko:K01893
gene-AsnS,ko:K01953
gene-AspRS,ko:K22503
gene-AspRS-m,ko:K01876
gene-AspRS-m,ko:K17387
gene-Asph,ko:K00476
gene-Ass,ko:K01940
gene-AstA-R1,ko:K04233
gene-Asx,ko:K11471
gene-Atac3,ko:K09454
gene-Ate1,ko:K00685
gene-Atet,ko:K05679
gene-Atet,ko:K05680
gene-Atf-2,ko:K04450
gene-Atf-2,ko:K09047
gene-Atf3,ko:K09032
gene-Atf3,ko:K21406
gene-Atf6,ko:K09049
gene-Atf6,ko:K09054
gene-Atg1,ko:K08269
gene-Atg1,ko:K21357
gene-Atg10,ko:K17888
gene-Atg12,ko:K08336
gene-Atg14,ko:K17889
gene-Atg16,ko:K17890
gene-Atg17,ko:K17589
gene-Atg3,ko:K08343
gene-Atg4a,ko:K08342
gene-Atg4b,ko:K08342
gene-Atg5,ko:K08339
gene-Atg6,ko:K08334
gene-Atg7,ko:K08337
gene-Atg8,ko:K08341
gene-Atg9,ko:K17907
gene-Atox1,ko:K07213
gene-Atpalpha,ko:K01539
gene-Atpsyn-beta,ko:K02133
gene-Atu,ko:K15177
gene-Awh,ko:K09375
gene-Axn,ko:K02157
gene-Axn,ko:K04385
gene-Axud1,ko:K17494
gene-B52,ko:K12893
gene-B9d1,ko:K16744
gene-BAEE,ko:K09640
gene-BBS1,ko:K16746
gene-BBS5,ko:K16748
gene-BBS9,ko:K19398
gene-BCAS2,ko:K12861
gene-BGRP1,ko:K20692
gene-BGRP1,ko:K20697
gene-BGRP2,ko:K20697
gene-BGRP3,ko:K20692
gene-BGRP3,ko:K20697
gene-BHD,ko:K09594
gene-BI-1,ko:K21889
gene-BNIP3,ko:K15464
gene-BNIP3,ko:K15465
gene-BORCS5,ko:K18463
gene-BORCS5,ko:K20819
gene-BORCS6,ko:K20820
gene-BORCS7,ko:K20821
gene-BRWD3,ko:K11797
gene-BRWD3,ko:K11798
gene-BTBD9,ko:K10481
gene-Baldspot,ko:K10203
gene-Bap111,ko:K11651
gene-Bap170,ko:K11765
gene-Bap55,ko:K11340
gene-Bap55,ko:K11652
gene-Bap60,ko:K11650
gene-Bcat,ko:K00826
gene-BckdhA,ko:K00166
gene-BckdhA,ko:K21439
gene-BckdhB,ko:K00167
gene-Bcp,ko:K01365
gene-Bcs1,ko:K08900
gene-Bdp1,ko:K00858
gene-Bdp1,ko:K15198
gene-Bem46,ko:K06889
gene-Best2,ko:K22204
gene-Bet1,ko:K08504
gene-Bet3,ko:K20302
gene-Bet5,ko:K20300
gene-BicC,ko:K18756
gene-BicD,ko:K18739
gene-Bin1,ko:K14324
gene-Bka,ko:K14566
gene-Blm,ko:K10901
gene-Blos1,ko:K20185
gene-Blos2,ko:K16750
gene-Bm-re,ko:K11367
gene-Bm-re,ko:K20091
gene-BmDJ-1beta,ko:K05687
gene-BmMET2,ko:K09026
gene-Bmap-A,ko:K09373
gene-Bmcp,ko:K15106
gene-BmorPDSN,ko:K00507
gene-Bmp-2,ko:K13187
gene-Bmp-2,ko:K13189
gene-Bmptp-Z,ko:K05696
gene-Bmptp-Z,ko:K18026
gene-BomSIFR,ko:K04225
gene-BomSIFR,ko:K04240
gene-BomSIFR,ko:K08375
gene-Br140,ko:K11348
gene-Br140,ko:K11349
gene-Br140,ko:K11350
gene-Bre1,ko:K10696
gene-Brf,ko:K15196
gene-Brms1,ko:K19196
gene-Bruce,ko:K10586
gene-Btk29A,ko:K07364
gene-Btk29A,ko:K07370
